Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,right,destroy,-0.001118533,0.0003175735,0.0005658567,-0.0258723,0.003452063,-0.0005602837,-0.03214066,0.0001536608,0.01155433,-0.03144027,0.00706768,0.01489228,-0.0513478,0.0619055,0.01004156,-0.02783679,0.02643061,0.01067573,-0.01898826,0.009187341,0.0143829,-0.03187627,0.07139909,0.01907775,-0.02475655,0.03360438,0.01707029,-0.01805482,0.0144639,0.01738936,-0.01422225,0.06979322,0.03184786,-0.01624278,0.03282297,0.01835716,-0.01559197,0.01299393,0.01916543,0.003070215,0.06272519,0.04517785,-0.004018821,0.02610636,0.01854125,-0.009376541,0.00539434,0.01839164,0.02117163,-0.08473039,-0.009723246,-0.02255178,-0.01666737,-0.01543075,-0.02616778,0.002387285,-0.01405698,-0.02951642,0.01378465,-0.01351407,0.008719616,-0.08685005,-0.009213865,-0.02348522,-0.02194393,-0.01843721,-0.02863064,0.003857255,-0.01583305,-0.03573185,0.02138424,-0.01274028,111.647,68.353,63.12686,116.8731,151.9852,28.01485,35.69252,144.3075,71.61993
1,right,destroy,-0.001178622,0.0003789663,0.0008910894,-0.02586842,0.003482699,-0.0005494058,-0.03213853,0.0002220869,0.01155916,-0.03142591,0.007137895,0.01488909,-0.05126132,0.06197906,0.01002932,-0.02788039,0.02635038,0.01075983,-0.01898254,0.009138703,0.0144214,-0.03176939,0.07145739,0.01903749,-0.02469671,0.03363919,0.01708844,-0.01802409,0.0144428,0.01743877,-0.0141052,0.06984222,0.03179234,-0.01615933,0.0328567,0.01837045,-0.0155554,0.01297879,0.01920539,0.00319122,0.06276596,0.04511279,-0.003997281,0.02607274,0.01859295,-0.009371236,0.005344868,0.01840881,0.02113476,-0.08462465,-0.009779394,-0.0226756,-0.01676714,-0.01533678,-0.02620158,0.002397656,-0.01403686,-0.02945847,0.01386023,-0.01354295,0.0086914,-0.08662546,-0.009311706,-0.02363406,-0.02207124,-0.01835415,-0.02867027,0.003861666,-0.01580349,-0.03564263,0.02149415,-0.01274636,111.5819,68.41808,63.2557,116.7443,152.0984,27.90158,35.53589,144.4641,71.67575
2,right,destroy,-0.001340054,0.0005527735,0.0009023845,-0.02586579,0.00350666,-0.0005195439,-0.03212995,0.0002924204,0.01158139,-0.03138576,0.007224798,0.01493183,-0.05119954,0.06203222,0.0100162,-0.02792621,0.02625477,0.01087415,-0.0189724,0.00903666,0.01449886,-0.03169326,0.07149994,0.01900446,-0.02465298,0.0336585,0.01711357,-0.01800742,0.01437724,0.01751003,-0.01402213,0.0698787,0.03174892,-0.01610263,0.03287518,0.01838723,-0.01554524,0.0129106,0.01925942,0.003276721,0.06279695,0.04506332,-0.004009236,0.02602756,0.01865369,-0.009398781,0.005245566,0.01842332,0.02113001,-0.08448792,-0.009828508,-0.02277951,-0.01687145,-0.01522768,-0.02622148,0.002404571,-0.01401812,-0.02939225,0.01392937,-0.01358086,0.00871665,-0.08629978,-0.00939554,-0.02374449,-0.02221203,-0.01823884,-0.02868366,0.003871202,-0.01576751,-0.0355387,0.02159441,-0.01274475,111.5435,68.45653,63.42545,116.5746,152.2467,27.75333,35.36404,144.636,71.72663
3,right,destroy,-0.001389861,0.0006148815,0.00110963,-0.02586317,0.003531933,-0.000477314,-0.03211696,0.0003780127,0.01161489,-0.03132928,0.007335544,0.01499632,-0.05113677,0.06208885,0.009986669,-0.0279634,0.02616429,0.01099575,-0.01895393,0.008915424,0.01459777,-0.03161551,0.0715487,0.01895058,-0.02461357,0.03367496,0.01713794,-0.01799321,0.01429653,0.0175904,-0.01393659,0.06992531,0.03168395,-0.01605301,0.03289461,0.01839593,-0.01554232,0.01282859,0.01931652,0.003365599,0.06284249,0.04499343,-0.004028656,0.02599156,0.01869962,-0.009437297,0.005138516,0.01843381,0.02112004,-0.08434319,-0.00984484,-0.02287109,-0.01697052,-0.01510611,-0.02623948,0.002403736,-0.01399136,-0.02932654,0.01398587,-0.01361316,0.008744694,-0.08592308,-0.009446293,-0.02383181,-0.02235162,-0.01809874,-0.02869038,0.003871679,-0.01571748,-0.03543156,0.02167594,-0.01273045,111.5583,68.4417,63.66231,116.3377,152.4516,27.54841,35.17437,144.8256,71.76426
4,right,destroy,-0.001438864,0.0006769896,0.001326978,-0.02585967,0.003565192,-0.0004159808,-0.03209528,0.0004966259,0.01167023,-0.0312486,0.00748992,0.01508802,-0.05105226,0.06216955,0.009916246,-0.02798039,0.02609551,0.01111567,-0.01891898,0.008786321,0.01472083,-0.03150979,0.07162488,0.0188387,-0.0245648,0.03370404,0.0171507,-0.01797172,0.01421535,0.01767802,-0.01381846,0.07000685,0.03155553,-0.0159963,0.03292871,0.01838407,-0.01553611,0.01274848,0.01937452,0.003490351,0.06293094,0.04486009,-0.004042294,0.02597809,0.01871541,-0.009478506,0.005039334,0.01843998,0.0210777,-0.08420324,-0.009777665,-0.02295806,-0.01706386,-0.01495749,-0.02625983,0.002393365,-0.0139502,-0.02926281,0.01402652,-0.0136359,0.008748084,-0.08549964,-0.009410471,-0.02390532,-0.02249289,-0.01791468,-0.02869545,0.003860235,-0.0156467,-0.03532042,0.02173567,-0.01270136,111.6345,68.36549,63.97354,116.0265,152.739,27.26096,34.96777,145.0322,71.8523
5,right,destroy,-0.002414182,0.001398921,0.002773374,-0.02586091,0.003569722,-0.0002767444,-0.03203898,0.0006061792,0.01181886,-0.03110415,0.007659912,0.01529968,-0.05103502,0.0621922,0.009862959,-0.02817982,0.02550662,0.0119476,-0.01878801,0.008085012,0.01527977,-0.03147206,0.07167494,0.01871118,-0.02458853,0.03362966,0.01726222,-0.01801536,0.01363993,0.01808232,-0.01374982,0.07009482,0.03138968,-0.01602753,0.0328778,0.018448,-0.01562578,0.01229906,0.01959163,0.003591908,0.06305861,0.0446724,-0.004144264,0.02592182,0.01877108,-0.009559564,0.004832149,0.01845363,0.02131494,-0.08352292,-0.01026845,-0.02315425,-0.01760578,-0.01416284,-0.02628324,0.002331972,-0.01386428,-0.02922498,0.01399219,-0.0136058,0.008998804,-0.08394802,-0.01024854,-0.0239269,-0.0231607,-0.01696539,-0.02867282,0.003672838,-0.01537359,-0.0352912,0.0214591,-0.0124678,111.8106,68.18941,64.2909,115.7091,153.0481,26.95188,34.8313,145.1687,71.95592
6,right,destroy,-0.003951237,0.002289534,0.00690636,-0.02585433,0.00362432,-0.000154078,-0.03199488,0.000779748,0.01192763,-0.03092083,0.00791657,0.01553875,-0.0509553,0.06227541,0.009749293,-0.02876606,0.02336454,0.01463029,-0.01785855,0.003566146,0.0178937,-0.03139033,0.07173491,0.01861778,-0.0247972,0.03324437,0.01770458,-0.01831091,0.00906682,0.02049571,-0.01368793,0.07013726,0.03132176,-0.01670127,0.03192711,0.01949069,-0.01677694,0.006210685,0.02142957,0.003624974,0.06308436,0.04463321,-0.006894981,0.02276421,0.02181101,-0.01185282,-0.002132773,0.01761347,0.02187214,-0.08123589,-0.01260602,-0.02353382,-0.01933932,-0.01194277,-0.02579834,0.002914906,-0.0144901,-0.02711919,0.0162158,-0.01563177,0.008809857,-0.07688546,-0.01496097,-0.02308146,-0.02484,-0.01454479,-0.02733231,0.005771041,-0.01542395,-0.03204331,0.02455926,-0.01181567,111.7213,68.27875,64.52674,115.4733,153.1572,26.84282,34.56926,145.4307,71.74736
7,right,destroy,-0.004422653,0.001766682,0.009840012,-0.02578115,0.003960252,0.00112015,-0.0313257,0.001577854,0.01351884,-0.02985017,0.008871913,0.01704338,-0.050614,0.06270337,0.008730739,-0.02911514,0.02118289,0.01705959,-0.01568715,-0.00213325,0.02002978,-0.03104236,0.07213998,0.01760894,-0.0268395,0.02816772,0.02279824,-0.01616358,-0.004187465,0.0236384,-0.01342671,0.07057583,0.03043711,-0.01974715,0.02635086,0.02436891,-0.01625709,-0.007001996,0.02158573,0.003760995,0.06356657,0.0439325,-0.009519393,0.01940858,0.02396154,-0.01296522,-0.008889198,0.01442763,0.02262228,-0.07834816,-0.01115134,-0.02184727,-0.01642144,-0.01461685,-0.024708,0.003381014,-0.01439884,-0.02741546,0.01395154,-0.01308802,0.00845927,-0.067343,-0.01413774,-0.02137084,-0.01436722,-0.01822546,-0.02461449,0.006195545,-0.01234618,-0.03070733,0.01583874,-0.005929917,111.7521,68.24794,65.43963,114.5604,153.8161,26.18386,33.8396,146.1604,71.58992
8,right,destroy,-0.004478291,0.001078129,0.0118407,-0.02556964,0.004605293,0.002567291,-0.03037846,0.002987862,0.01532218,-0.02838662,0.01048541,0.01856011,-0.04992886,0.0635345,0.006339461,-0.02923431,0.01936901,0.01891106,-0.0132996,-0.00622797,0.02088448,-0.03034773,0.07298148,0.01518574,-0.02788894,0.02455819,0.02554676,-0.01331493,-0.01125395,0.0231005,-0.01290611,0.07156861,0.02826676,-0.0213811,0.02290666,0.02638742,-0.01456295,-0.01360917,0.0195443,0.004031898,0.06473732,0.04216319,-0.01137696,0.01743817,0.0246565,-0.01302806,-0.01237035,0.01151165,0.02321507,-0.07531035,-0.007361054,-0.02092651,-0.01463616,-0.01548198,-0.02394945,0.003064394,-0.01392168,-0.02694215,0.01229978,-0.01216552,0.008128047,-0.05859697,-0.009685427,-0.02091117,-0.009610176,-0.01769799,-0.02270144,0.005419612,-0.01036549,-0.02847703,0.01106095,-0.004132867,112.2036,67.79642,67.27201,112.728,155.1999,24.8001,32.71382,147.2862,71.49973
9,right,destroy,-0.004761349,0.0005543232,0.01444831,-0.02511707,0.005770445,0.004176259,-0.02907095,0.005078793,0.017194,-0.02551312,0.01325774,0.02082154,-0.0486105,0.0647881,0.003039658,-0.02940252,0.01721728,0.02065161,-0.008595981,-0.01290715,0.02028164,-0.02911253,0.07402325,0.01228425,-0.0291725,0.01902819,0.02864316,-0.007486217,-0.02062452,0.0188722,-0.01214409,0.07256579,0.02596879,-0.02393673,0.01578128,0.02925998,-0.008767515,-0.02381945,0.0116204,0.004167972,0.06572604,0.040591,-0.01660007,0.01164019,0.02510798,-0.01046823,-0.01822293,0.003689528,0.023825,-0.07115614,-0.002321005,-0.019728,-0.01104605,-0.01723614,-0.02220421,0.004704356,-0.01430136,-0.02364872,0.01098084,-0.01047021,0.006907865,-0.04499125,-0.001781106,-0.02083776,-0.003328681,-0.0158267,-0.02092291,0.007899284,-0.007049561,-0.02194801,0.005384326,-0.002539337,112.1009,67.89915,69.12279,110.8772,155.8002,24.19982,31.21294,148.787,70.21181
