Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,left,destroy,-4.553795E-05,-0.0001239777,0.0003268421,0.01193902,0.007533312,0.02196164,0.007262081,0.009802699,0.03190167,0.003503233,0.01591408,0.03153875,-0.002082974,0.06841612,0.04341209,-0.01462853,0.02320552,0.02889532,-0.01488516,0.001309872,0.02070138,-0.01737568,0.07398474,0.02649924,-0.02107778,0.0261761,0.03006791,-0.01770338,0.0001028776,0.02289432,-0.03439346,0.06864417,0.01388216,-0.02082428,0.02655947,0.02321859,-0.01628304,0.001444221,0.02262832,-0.05119836,0.05794334,0.002490848,-0.01793027,0.02437842,0.01120982,-0.0131945,0.002479315,0.01658396,0.0359126,-0.07428563,-0.01844409,0.02174196,-0.0085392,0.01574026,0.01676428,0.004957199,0.0194664,0.01391089,0.01288188,0.02340008,0.05430099,-0.05968142,-0.007606715,0.02456018,-0.007332206,0.01354732,0.01534393,0.003615856,0.0197324,0.01082236,0.01184678,0.02944444,100.7277,79.27228,67.84647,112.1535,151.5112,28.48879,24.86806,155.1319,67.61291
1,left,destroy,-7.992983E-05,2.944469E-05,0.0003471971,0.01202196,0.00754559,0.02191214,0.007354736,0.00974834,0.03189713,0.003581762,0.01586187,0.03155619,-0.002033591,0.06842828,0.04339541,-0.01456457,0.02309906,0.02901269,-0.01482919,0.001246333,0.02074541,-0.01736131,0.07398438,0.02651016,-0.02101788,0.02612484,0.03015426,-0.01764694,7.808208E-05,0.02293795,-0.03440058,0.06863153,0.01392724,-0.02081889,0.02646732,0.02332841,-0.01623341,0.001385212,0.02266769,-0.05122197,0.05791903,0.002571285,-0.01793972,0.02434075,0.01127651,-0.01316547,0.00246954,0.01660852,0.03597486,-0.07423341,-0.01859884,0.02178103,-0.008581877,0.01574369,0.01684028,0.005010366,0.01940878,0.01394221,0.01283908,0.02340785,0.05438581,-0.05961788,-0.007788062,0.02459878,-0.007413626,0.01355115,0.01542675,0.003703237,0.01967904,0.01087427,0.01175475,0.02946702,100.7626,79.23745,67.95974,112.0403,151.5785,28.42147,24.78119,155.2188,67.59788
2,left,destroy,-0.0003486276,-2.551079E-05,0.0003058016,0.01209688,0.007557988,0.02186659,0.007441252,0.009703994,0.03189057,0.00365454,0.01581872,0.03156951,-0.00199908,0.0684377,0.04338211,-0.01451212,0.02298474,0.02912956,-0.01477748,0.001181483,0.02078603,-0.01735923,0.07398057,0.02652201,-0.02096927,0.02606642,0.03023854,-0.01759541,4.816055E-05,0.02297756,-0.03441703,0.0686146,0.01396984,-0.02081814,0.02637839,0.0234296,-0.01618844,0.001327515,0.02270323,-0.05125165,0.05788934,0.002645612,-0.01795241,0.0243032,0.01133713,-0.0131402,0.002459168,0.01663005,0.03604934,-0.07416046,-0.01875451,0.0218173,-0.008624554,0.01575112,0.01690668,0.005053997,0.01936111,0.01396888,0.01280046,0.0234167,0.05448136,-0.05952322,-0.007971033,0.02463523,-0.007491231,0.01355959,0.01549971,0.003774643,0.01963544,0.01092064,0.0116688,0.02948987,100.8031,79.19685,68.09267,111.9073,151.6724,28.32765,24.67941,155.3206,67.60458
3,left,destroy,-0.0006357431,-8.296967E-05,0.0002615005,0.01215145,0.007567286,0.02183308,0.007505536,0.009672284,0.03188513,0.003708154,0.01578736,0.03157902,-0.001995146,0.06844127,0.04337654,-0.01448473,0.02286267,0.02923904,-0.01474163,0.001115918,0.02081515,-0.01737514,0.07397354,0.02653104,-0.02094629,0.02600098,0.03031071,-0.01756182,1.263618E-05,0.02300332,-0.03444231,0.06859648,0.01399636,-0.02083123,0.02629578,0.02351066,-0.01616085,0.00127244,0.02272606,-0.05128205,0.05786037,0.002689958,-0.01797104,0.02426863,0.01138157,-0.01312762,0.002448797,0.01664153,0.03613687,-0.07406437,-0.01889737,0.02184156,-0.008670568,0.01577383,0.0169521,0.00508225,0.01933472,0.01397955,0.01276326,0.0234355,0.05458665,-0.05939293,-0.008133501,0.02466175,-0.007567286,0.01358566,0.01555112,0.003822446,0.01961198,0.01094633,0.0115869,0.02952003,100.8023,79.19771,68.15202,111.848,151.7244,28.27563,24.62488,155.3751,67.63009
4,left,destroy,-0.0003020167,-8.702278E-05,0.0002157316,0.01221284,0.007577181,0.02179536,0.007583439,0.0096488,0.03187382,0.003768921,0.01576483,0.03158306,-0.001969993,0.06844425,0.04337302,-0.01445019,0.02272868,0.02936034,-0.01469624,0.001041174,0.02085108,-0.01738021,0.07396507,0.02655138,-0.020915,0.02592075,0.03040099,-0.01751652,-5.400181E-05,0.02303776,-0.03446379,0.06857586,0.0140443,-0.0208298,0.02621174,0.02360561,-0.01611695,0.001196861,0.02276132,-0.05131459,0.05782795,0.002765656,-0.01797682,0.02423942,0.01143478,-0.01310155,0.002434969,0.0166641,0.03621647,-0.07394695,-0.01906417,0.02187502,-0.008712888,0.01578099,0.01699838,0.005098224,0.01930246,0.01399782,0.01272023,0.02344948,0.05468163,-0.05922329,-0.008332193,0.02469531,-0.007617712,0.0135943,0.0155988,0.003847361,0.0195789,0.01098242,0.01148212,0.02954669,100.8266,79.17338,68.15057,111.8494,151.6953,28.30465,24.63802,155.362,67.57755
5,left,destroy,-0.0003128052,-0.0001773834,0.0001673996,0.01227677,0.007603288,0.02175036,0.007661521,0.009643793,0.03185664,0.003831863,0.01576173,0.03157701,-0.001911312,0.06848538,0.04331073,-0.01439673,0.02262425,0.02946714,-0.01464149,0.0009880066,0.02089214,-0.01735768,0.07398355,0.02651486,-0.02087423,0.02584612,0.03049231,-0.0174619,-0.0001266003,0.02307895,-0.03446412,0.06857514,0.01404741,-0.02081561,0.02613842,0.02369931,-0.01605988,0.001119614,0.02280553,-0.05133313,0.05780923,0.002813131,-0.0179638,0.02422881,0.01147759,-0.013062,0.002432942,0.0166954,0.03624633,-0.07386255,-0.01917087,0.02192387,-0.00872004,0.0157707,0.01704782,0.005116105,0.01926044,0.01401719,0.01267552,0.02345601,0.05471969,-0.05908883,-0.008486003,0.02474427,-0.007605433,0.0135839,0.0156458,0.003869891,0.01953386,0.01101932,0.0113622,0.02956614,100.7794,79.22063,68.20688,111.7931,151.6556,28.34438,24.56371,155.4363,67.47686
6,left,destroy,-0.0003883243,-0.0001974106,0.0002141148,0.01233992,0.00763607,0.02170303,0.007737488,0.009647727,0.03183709,0.003891945,0.01576853,0.03156632,-0.001835585,0.06854308,0.04322264,-0.01434073,0.02252078,0.02957344,-0.01458427,0.0009357929,0.02093452,-0.01732078,0.07401407,0.02645364,-0.02083173,0.02576196,0.0305924,-0.01740262,-0.0002170801,0.02312298,-0.03445321,0.06858385,0.01403145,-0.02079582,0.02606297,0.02379942,-0.01599491,0.001031399,0.0228553,-0.05134386,0.05779791,0.002849102,-0.01794401,0.02422154,0.01152381,-0.01301372,0.002427578,0.01673386,0.03625372,-0.07378006,-0.01925595,0.0219762,-0.008712173,0.01575004,0.01709652,0.005129218,0.01921517,0.01403883,0.01262736,0.02345796,0.05472994,-0.05894732,-0.008624151,0.02479455,-0.007559299,0.01356158,0.01568881,0.003880739,0.01948285,0.01105765,0.01123118,0.0295794,100.8086,79.19135,68.31041,111.6896,151.6437,28.35629,24.48366,155.5163,67.35136
7,left,destroy,-0.0004690886,-0.000215888,0.0002678484,0.01239225,0.007669687,0.02166136,0.007795841,0.00965178,0.03182164,0.003934592,0.01577663,0.03155689,-0.00175482,0.06860852,0.04312213,-0.01429456,0.02241206,0.02967823,-0.01453507,0.0008792877,0.02097115,-0.01727274,0.07405341,0.02637492,-0.02079937,0.02566087,0.03069931,-0.0173496,-0.0003323555,0.02316144,-0.03442901,0.06860363,0.01399423,-0.02077934,0.02597964,0.02390471,-0.01593229,0.0009248257,0.02290356,-0.05134082,0.05780005,0.002861008,-0.01792076,0.02421522,0.01157334,-0.01296332,0.00241363,0.01677489,0.03623748,-0.07369912,-0.01931736,0.02202272,-0.008693695,0.01572612,0.01713625,0.005131006,0.01917529,0.01405323,0.012568,0.02346459,0.05470714,-0.05880177,-0.008731619,0.02483726,-0.007482052,0.01353583,0.01571894,0.003873825,0.01943317,0.01108426,0.01107919,0.02959326,100.8588,79.1412,68.38188,111.6181,151.6385,28.36148,24.44319,155.5568,67.26083
8,left,destroy,-0.0006631017,-4.422665E-05,0.0004436597,0.01247156,0.007774115,0.02157845,0.007896185,0.009775877,0.03175895,0.004030257,0.01590502,0.03148031,-0.001548499,0.06883216,0.04277208,-0.01440498,0.02205575,0.02989101,-0.01452526,0.0005689859,0.02098867,-0.01712695,0.0741998,0.02605619,-0.02085257,0.02530777,0.0309553,-0.01726383,-0.0007207394,0.02321661,-0.03433368,0.06869674,0.01376948,-0.0207347,0.02589345,0.02403674,-0.01581037,0.0007638931,0.02299379,-0.05129445,0.05784619,0.002757058,-0.01787183,0.02422118,0.01163626,-0.01285288,0.002390027,0.01686306,0.03632122,-0.07333791,-0.0193257,0.02202603,-0.008619666,0.01565161,0.01708886,0.004917383,0.01920527,0.0140979,0.01252282,0.0234129,0.05487674,-0.05800188,-0.008834064,0.0247646,-0.007329941,0.01342368,0.0156354,0.003432751,0.01942809,0.01114041,0.01089668,0.02954362,100.7785,79.22145,68.67976,111.3202,151.6166,28.38345,24.1331,155.8669,66.98428
9,left,destroy,-0.0004289746,1.28746E-05,0.0005724132,0.01265773,0.008064151,0.02136254,0.008159727,0.01016033,0.03157109,0.004260004,0.01628768,0.03125358,-0.001154363,0.06937051,0.0419061,-0.01646236,0.01822817,0.03137128,-0.01493943,-0.002450347,0.02055821,-0.01692843,0.07450616,0.02530113,-0.02292019,0.01953316,0.03356576,-0.01680386,-0.006978631,0.02250551,-0.03426608,0.06882644,0.01328175,-0.02239475,0.02041304,0.02756713,-0.01461419,-0.005544662,0.02312894,-0.05133626,0.05781639,0.002601832,-0.01856849,0.02247274,0.01384389,-0.01190194,3.862381E-05,0.01770912,0.03843418,-0.0693742,-0.02034375,0.02223191,-0.006440639,0.0144105,0.01681221,0.004799843,0.01801801,0.01324391,0.008950353,0.02440315,0.05763361,-0.05063617,-0.009648383,0.02409634,-0.001912355,0.0124632,0.01462254,0.003365874,0.01739457,0.01053166,0.003367066,0.02982298,100.4644,79.53557,69.29351,110.7065,151.4144,28.58563,23.42204,156.578,66.26479
