Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.2907702,0.9676424,-0.1045477,pick,left
0,HandThumb0,0.3019536,0.9745682,-0.1277932,pick,left
0,HandThumb1,0.3024614,0.9832268,-0.1524179,pick,left
0,HandThumb2,0.3119793,0.9803462,-0.185093,pick,left
0,HandIndex1,0.3404529,1.033277,-0.1683004,pick,left
0,HandIndex2,0.3615263,1.052669,-0.1960004,pick,left
0,HandMiddle1,0.352972,1.033292,-0.1484461,pick,left
0,HandMiddle2,0.3789702,1.065224,-0.1668305,pick,left
0,HandRing1,0.3634232,1.022374,-0.13267,pick,left
0,HandRing2,0.3883078,1.053799,-0.1411161,pick,left
0,HandPinky0,0.3330138,0.9808592,-0.1064569,pick,left
0,HandPinky1,0.3717373,1.006571,-0.1182542,pick,left
0,HandPinky2,0.3932796,1.030339,-0.1147225,pick,left
0,HandThumb3,0.3284956,0.9815968,-0.2164915,pick,left
0,HandIndex3,0.3775033,1.053379,-0.2159018,pick,left
0,HandMiddle3,0.3992573,1.077095,-0.1837145,pick,left
0,HandRing3,0.4093928,1.064292,-0.1561028,pick,left
0,HandPinky3,0.4122759,1.035507,-0.1229507,pick,left
1,HandStart,0.2916542,0.9663832,-0.1046797,pick,left
1,HandThumb0,0.302835,0.9733726,-0.1279074,pick,left
1,HandThumb1,0.303331,0.9820405,-0.1525292,pick,left
1,HandThumb2,0.3129075,0.9792267,-0.1851929,pick,left
1,HandIndex1,0.3410861,1.032291,-0.1683456,pick,left
1,HandIndex2,0.3620991,1.051713,-0.1960704,pick,left
1,HandMiddle1,0.3535763,1.032366,-0.1484732,pick,left
1,HandMiddle2,0.3794478,1.064352,-0.1669421,pick,left
1,HandRing1,0.3640614,1.021499,-0.1326844,pick,left
1,HandRing2,0.3887837,1.053054,-0.1411271,pick,left
1,HandPinky0,0.3338311,0.9798205,-0.1065248,pick,left
1,HandPinky1,0.372437,1.005736,-0.1182602,pick,left
1,HandPinky2,0.3938438,1.029621,-0.1146913,pick,left
1,HandThumb3,0.329423,0.9805841,-0.2165875,pick,left
1,HandIndex3,0.3780906,1.0524,-0.2159609,pick,left
1,HandMiddle3,0.3996883,1.07625,-0.1838637,pick,left
1,HandRing3,0.4098268,1.063598,-0.1561363,pick,left
1,HandPinky3,0.4128162,1.034835,-0.1229455,pick,left
2,HandStart,0.2924265,0.9653376,-0.1046798,pick,left
2,HandThumb0,0.3036047,0.9724057,-0.127885,pick,left
2,HandThumb1,0.3040779,0.9811041,-0.1524964,pick,left
2,HandThumb2,0.3136971,0.978384,-0.1851555,pick,left
2,HandIndex1,0.3416104,1.031557,-0.1682143,pick,left
2,HandIndex2,0.3625783,1.051006,-0.195954,pick,left
2,HandMiddle1,0.3540714,1.031678,-0.1483238,pick,left
2,HandMiddle2,0.379827,1.063722,-0.166855,pick,left
2,HandRing1,0.3645895,1.020851,-0.1325298,pick,left
2,HandRing2,0.3891479,1.052542,-0.1409373,pick,left
2,HandPinky0,0.3345363,0.9789934,-0.1064517,pick,left
2,HandPinky1,0.3730252,1.005118,-0.1181078,pick,left
2,HandPinky2,0.3942997,1.029112,-0.1144826,pick,left
2,HandThumb3,0.3301992,0.9798728,-0.2165511,pick,left
2,HandIndex3,0.3785889,1.051669,-0.21583,pick,left
2,HandMiddle3,0.4000228,1.075664,-0.1837989,pick,left
2,HandRing3,0.4101501,1.06316,-0.155952,pick,left
2,HandPinky3,0.4132505,1.03438,-0.1227522,pick,left
3,HandStart,0.29329,0.9645736,-0.1047921,pick,left
3,HandThumb0,0.3044594,0.9717184,-0.127978,pick,left
3,HandThumb1,0.3049191,0.9804634,-0.1525731,pick,left
3,HandThumb2,0.3145627,0.9778629,-0.1852348,pick,left
3,HandIndex1,0.3423054,1.03106,-0.1681778,pick,left
3,HandIndex2,0.3632762,1.050443,-0.1959614,pick,left
3,HandMiddle1,0.3547547,1.031183,-0.1482801,pick,left
3,HandMiddle2,0.3804418,1.063246,-0.1668737,pick,left
3,HandRing1,0.3652973,1.02036,-0.1324998,pick,left
3,HandRing2,0.3897389,1.052154,-0.1408596,pick,left
3,HandPinky0,0.3353585,0.9783623,-0.1065152,pick,left
3,HandPinky1,0.3737734,1.004627,-0.1181018,pick,left
3,HandPinky2,0.3949664,1.028684,-0.1144198,pick,left
3,HandThumb3,0.3310525,0.9794924,-0.2166299,pick,left
3,HandIndex3,0.3792956,1.051,-0.2158334,pick,left
3,HandMiddle3,0.4005982,1.075215,-0.1838454,pick,left
3,HandRing3,0.4107044,1.062833,-0.1558816,pick,left
3,HandPinky3,0.4138978,1.033972,-0.122721,pick,left
4,HandStart,0.294121,0.9637576,-0.1049685,pick,left
4,HandThumb0,0.3052328,0.9710559,-0.1281342,pick,left
4,HandThumb1,0.3057028,0.9798754,-0.1527025,pick,left
4,HandThumb2,0.3154273,0.9775274,-0.1853594,pick,left
4,HandIndex1,0.3427435,1.030755,-0.168118,pick,left
4,HandIndex2,0.3658121,1.044024,-0.1977693,pick,left
4,HandMiddle1,0.3552106,1.030857,-0.1482313,pick,left
4,HandMiddle2,0.380759,1.062988,-0.1668978,pick,left
4,HandRing1,0.365822,1.02002,-0.1325065,pick,left
4,HandRing2,0.3900634,1.051989,-0.1407848,pick,left
4,HandPinky0,0.3361183,0.9777641,-0.1066718,pick,left
4,HandPinky1,0.3743902,1.004269,-0.1181826,pick,left
4,HandPinky2,0.3954549,1.028428,-0.1144263,pick,left
4,HandThumb3,0.3320141,0.9794368,-0.2166876,pick,left
4,HandIndex3,0.3819385,1.03995,-0.2171386,pick,left
4,HandMiddle3,0.4008353,1.075004,-0.1839313,pick,left
4,HandRing3,0.4109461,1.062781,-0.1558416,pick,left
