Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.2347888,0.8505974,0.1568684,idle,right
0,HandThumb0,0.2252611,0.8634514,0.1785642,idle,right
0,HandThumb1,0.2173441,0.8808224,0.1967275,idle,right
0,HandThumb2,0.2001918,0.8965227,0.222176,idle,right
0,HandIndex1,0.2374395,0.8796794,0.2578153,idle,right
0,HandIndex2,0.2333122,0.8935603,0.2953301,idle,right
0,HandMiddle1,0.2405714,0.8561984,0.2580113,idle,right
0,HandMiddle2,0.2236457,0.8534468,0.3001712,idle,right
0,HandRing1,0.2341287,0.8360301,0.2518497,idle,right
0,HandRing2,0.1953543,0.8398616,0.2656833,idle,right
0,HandPinky0,0.2258638,0.8284151,0.1946546,idle,right
0,HandPinky1,0.2241439,0.8176928,0.2418221,idle,right
0,HandPinky2,0.1942468,0.8305491,0.2404831,idle,right
0,HandThumb3,0.1860782,0.8771312,0.2487943,idle,right
0,HandIndex3,0.2291766,0.9021213,0.3192802,idle,right
0,HandMiddle3,0.2122135,0.8515214,0.3269818,idle,right
0,HandRing3,0.1906403,0.8501872,0.2398961,idle,right
0,HandPinky3,0.193031,0.8415877,0.222032,idle,right
1,HandStart,0.2350113,0.8504995,0.1567568,idle,right
1,HandThumb0,0.2254952,0.8633349,0.1784686,idle,right
1,HandThumb1,0.2175816,0.8806837,0.1966546,idle,right
1,HandThumb2,0.2004431,0.896352,0.2221321,idle,right
1,HandIndex1,0.2377137,0.8794922,0.257728,idle,right
1,HandIndex2,0.2336223,0.8933547,0.2952535,idle,right
1,HandMiddle1,0.2408441,0.8560107,0.2579017,idle,right
1,HandMiddle2,0.2239692,0.8532028,0.3000783,idle,right
1,HandRing1,0.234397,0.8358484,0.2517255,idle,right
1,HandRing2,0.1956365,0.8396614,0.265603,idle,right
1,HandPinky0,0.2261034,0.8282844,0.1945277,idle,right
1,HandPinky1,0.224406,0.8175205,0.2416867,idle,right
1,HandPinky2,0.1945047,0.8303716,0.2403927,idle,right
1,HandThumb3,0.1863286,0.8770019,0.24878,idle,right
1,HandIndex3,0.2295065,0.9019043,0.3192111,idle,right
1,HandMiddle3,0.2125759,0.8512403,0.3269027,idle,right
1,HandRing3,0.1908879,0.8500167,0.2398342,idle,right
1,HandPinky3,0.1932613,0.8414224,0.2219508,idle,right
2,HandStart,0.2350597,0.8505707,0.1566337,idle,right
2,HandThumb0,0.2255514,0.8633984,0.1783536,idle,right
2,HandThumb1,0.2176414,0.8807372,0.1965506,idle,right
2,HandThumb2,0.2005136,0.8963917,0.2220439,idle,right
2,HandIndex1,0.2377972,0.8795251,0.257615,idle,right
2,HandIndex2,0.2337353,0.8933865,0.2951441,idle,right
2,HandMiddle1,0.2409263,0.8560434,0.2577788,idle,right
2,HandMiddle2,0.2240883,0.8531995,0.2999677,idle,right
2,HandRing1,0.2344761,0.8358837,0.2515971,idle,right
2,HandRing2,0.1957259,0.839685,0.2655065,idle,right
2,HandPinky0,0.2261631,0.8283418,0.1943992,idle,right
2,HandPinky1,0.2244808,0.8175601,0.2415546,idle,right
2,HandPinky2,0.1945747,0.8304039,0.2402973,idle,right
2,HandThumb3,0.1863913,0.877099,0.2487292,idle,right
2,HandIndex3,0.2296371,0.9019356,0.3191049,idle,right
2,HandMiddle3,0.2127255,0.8512129,0.3268033,idle,right
2,HandRing3,0.19095,0.8500583,0.2397498,idle,right
2,HandPinky3,0.1933031,0.8414591,0.2218598,idle,right
3,HandStart,0.2350975,0.8506083,0.156585,idle,right
3,HandThumb0,0.2255973,0.8634239,0.1783156,idle,right
3,HandThumb1,0.2176882,0.8807474,0.1965276,idle,right
3,HandThumb2,0.2005706,0.8963791,0.2220417,idle,right
3,HandIndex1,0.2378763,0.8795118,0.2575798,idle,right
3,HandIndex2,0.2338433,0.8933638,0.2951155,idle,right
3,HandMiddle1,0.2410084,0.8560304,0.2577302,idle,right
3,HandMiddle2,0.2242029,0.8531424,0.2999291,idle,right
3,HandRing1,0.2345578,0.8358731,0.2515412,idle,right
3,HandRing2,0.1958167,0.8396554,0.265481,idle,right
3,HandPinky0,0.2262204,0.8283592,0.1943432,idle,right
3,HandPinky1,0.2245603,0.8175534,0.2414939,idle,right
3,HandPinky2,0.1946464,0.8303834,0.2402823,idle,right
3,HandThumb3,0.18645,0.8771312,0.2487603,idle,right
3,HandIndex3,0.2297636,0.901907,0.3190816,idle,right
3,HandMiddle3,0.2128709,0.851126,0.3267756,idle,right
3,HandRing3,0.1910143,0.8500497,0.2397377,idle,right
3,HandPinky3,0.1933394,0.8414471,0.2218523,idle,right
4,HandStart,0.235124,0.8506106,0.156618,idle,right
4,HandThumb0,0.2256329,0.8634068,0.178364,idle,right
4,HandThumb1,0.2177212,0.880706,0.1965979,idle,right
4,HandThumb2,0.200614,0.8963003,0.2221419,idle,right
4,HandIndex1,0.2379549,0.8794396,0.2576326,idle,right
4,HandIndex2,0.2339503,0.8932689,0.2951797,idle,right
4,HandMiddle1,0.2410948,0.8559592,0.2577637,idle,right
4,HandMiddle2,0.2243169,0.8530142,0.2999696,idle,right
4,HandRing1,0.2346472,0.8358043,0.2515635,idle,right
4,HandRing2,0.1959139,0.8395583,0.2655327,idle,right
4,HandPinky0,0.2262773,0.8283304,0.194365,idle,right
4,HandPinky1,0.2246496,0.8174888,0.2415086,idle,right
4,HandPinky2,0.1947243,0.8302975,0.2403556,idle,right
4,HandThumb3,0.1865083,0.8770782,0.2488869,idle,right
4,HandIndex3,0.2298903,0.9017973,0.3191544,idle,right
4,HandMiddle3,0.2130158,0.8509591,0.3268261,idle,right
4,HandRing3,0.1910866,0.849979,0.2398048,idle,right
4,HandPinky3,0.1933731,0.8413762,0.221938,idle,right
5,HandStart,0.2349913,0.8506929,0.156638,idle,right
5,HandThumb0,0.2255125,0.8634728,0.1783989,idle,right
5,HandThumb1,0.2176039,0.880753,0.1966521,idle,right
5,HandThumb2,0.200513,0.8963183,0.2222247,idle,right
5,HandIndex1,0.237889,0.8794609,0.2576681,idle,right
5,HandIndex2,0.2339219,0.8932748,0.2952249,idle,right
5,HandMiddle1,0.2410364,0.8559813,0.2577824,idle,right
5,HandMiddle2,0.2242973,0.8529885,0.3000004,idle,right
5,HandRing1,0.2345904,0.8358283,0.2515747,idle,right
5,HandRing2,0.1958699,0.8395547,0.2655869,idle,right
5,HandPinky0,0.2261799,0.8283867,0.1943779,idle,right
5,HandPinky1,0.224591,0.8175159,0.2415161,idle,right
5,HandPinky2,0.1946547,0.8303041,0.2404227,idle,right
5,HandThumb3,0.1864233,0.8771302,0.2490025,idle,right
5,HandIndex3,0.2298883,0.9017929,0.3192076,idle,right
5,HandMiddle3,0.2130322,0.8509008,0.3268695,idle,right
5,HandRing3,0.1910075,0.8499971,0.2398744,idle,right
5,HandPinky3,0.193262,0.8413952,0.2220155,idle,right
6,HandStart,0.2349079,0.850838,0.1566167,idle,right
6,HandThumb0,0.2254445,0.8636004,0.1783946,idle,right
6,HandThumb1,0.2175425,0.8808604,0.1966698,idle,right
6,HandThumb2,0.2004728,0.8963961,0.2222744,idle,right
6,HandIndex1,0.2378824,0.8795324,0.2576655,idle,right
6,HandIndex2,0.2339596,0.8933268,0.295234,idle,right
6,HandMiddle1,0.2410338,0.8560533,0.25776,idle,right
6,HandMiddle2,0.2243334,0.8530099,0.2999896,idle,right
6,HandRing1,0.2345861,0.8359037,0.2515427,idle,right
6,HandRing2,0.1958802,0.8396064,0.2656012,idle,right
6,HandPinky0,0.2261307,0.8285027,0.1943474,idle,right
6,HandPinky1,0.2245817,0.817597,0.2414788,idle,right
6,HandPinky2,0.194636,0.8303686,0.2404502,idle,right
6,HandThumb3,0.1863989,0.8772391,0.2490828,idle,right
6,HandIndex3,0.2299588,0.9018326,0.3192267,idle,right
6,HandMiddle3,0.2131018,0.8508884,0.3268701,idle,right
6,HandRing3,0.1909823,0.8500742,0.2399057,idle,right
6,HandPinky3,0.1932016,0.8414742,0.2220551,idle,right
7,HandStart,0.2348803,0.8510513,0.1565494,idle,right
7,HandThumb0,0.2254365,0.8637945,0.178347,idle,right
7,HandThumb1,0.2175458,0.8810329,0.1966476,idle,right
7,HandThumb2,0.2005035,0.8965382,0.2222888,idle,right
7,HandIndex1,0.2379436,0.8796538,0.2576215,idle,right
7,HandIndex2,0.234074,0.8934235,0.2952047,idle,right
7,HandMiddle1,0.2410936,0.8561744,0.257692,idle,right
7,HandMiddle2,0.2244313,0.8530768,0.2999328,idle,right
7,HandRing1,0.2346393,0.8360309,0.2514621,idle,right
7,HandRing2,0.1959498,0.8397162,0.2655702,idle,right
7,HandPinky0,0.2261341,0.8286824,0.1942673,idle,right
7,HandPinky1,0.2246249,0.817734,0.2413901,idle,right
7,HandPinky2,0.1946724,0.8304951,0.2404319,idle,right
7,HandThumb3,0.1864437,0.8774092,0.2491246,idle,right
7,HandIndex3,0.2301133,0.9019137,0.3192096,idle,right
7,HandMiddle3,0.2132293,0.8509198,0.3268228,idle,right
7,HandRing3,0.1910169,0.8502148,0.2398941,idle,right
