Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.5009632,0.9963183,0.004912466,pick,right
0,HandThumb0,0.5006284,1.004512,0.03033185,pick,right
0,HandThumb1,0.4939939,1.011131,0.05469941,pick,right
0,HandThumb2,0.4954881,1.013544,0.08873605,pick,right
0,HandIndex1,0.5066566,1.068453,0.0797779,pick,right
0,HandIndex2,0.5205147,1.094578,0.1064771,pick,right
0,HandMiddle1,0.5254253,1.072171,0.06618242,pick,right
0,HandMiddle2,0.5474591,1.067123,0.1052025,pick,right
0,HandRing1,0.5432405,1.064597,0.0560548,pick,right
0,HandRing2,0.5601105,1.050351,0.09056009,pick,right
0,HandPinky0,0.5351959,1.018559,0.02212707,pick,right
0,HandPinky1,0.5597161,1.051727,0.04658946,pick,right
0,HandPinky2,0.5703776,1.041317,0.07521527,pick,right
0,HandThumb3,0.5015778,1.021587,0.1227718,pick,right
0,HandIndex3,0.5327222,1.095991,0.128856,pick,right
0,HandMiddle3,0.5536317,1.042931,0.1198383,pick,right
0,HandRing3,0.5595411,1.025198,0.1026541,pick,right
0,HandPinky3,0.5653892,1.02327,0.08544794,pick,right
1,HandStart,0.501321,0.9965473,0.004655898,pick,right
1,HandThumb0,0.5009614,1.004729,0.03007862,pick,right
1,HandThumb1,0.4943829,1.011318,0.05446957,pick,right
1,HandThumb2,0.4959593,1.013721,0.08850319,pick,right
1,HandIndex1,0.5068983,1.068654,0.07955658,pick,right
1,HandIndex2,0.5206956,1.094678,0.1063861,pick,right
1,HandMiddle1,0.5256729,1.072395,0.06597555,pick,right
1,HandMiddle2,0.5476587,1.067278,0.1050138,pick,right
1,HandRing1,0.5435018,1.064841,0.05585682,pick,right
1,HandRing2,0.5603358,1.050538,0.09035601,pick,right
1,HandPinky0,0.5355219,1.018811,0.02190358,pick,right
1,HandPinky1,0.5599955,1.05199,0.04639716,pick,right
1,HandPinky2,0.5706218,1.041539,0.07502083,pick,right
1,HandThumb3,0.5021486,1.021765,0.122521,pick,right
1,HandIndex3,0.5328642,1.095975,0.1287931,pick,right
1,HandMiddle3,0.5538275,1.04306,0.1196072,pick,right
1,HandRing3,0.5597608,1.025363,0.1024036,pick,right
1,HandPinky3,0.5656232,1.023476,0.08521879,pick,right
2,HandStart,0.5017988,0.9966266,0.004286051,pick,right
2,HandThumb0,0.5014095,1.004797,0.02971215,pick,right
2,HandThumb1,0.4948922,1.011352,0.05412855,pick,right
2,HandThumb2,0.496558,1.013748,0.08815841,pick,right
2,HandIndex1,0.5072356,1.068706,0.07922369,pick,right
2,HandIndex2,0.5209686,1.094603,0.1062087,pick,right
2,HandMiddle1,0.5260172,1.072473,0.06565966,pick,right
2,HandMiddle2,0.5479479,1.067278,0.1047185,pick,right
2,HandRing1,0.5438627,1.064944,0.05555207,pick,right
2,HandRing2,0.560658,1.050585,0.09004688,pick,right
2,HandPinky0,0.5359612,1.01892,0.02157162,pick,right
2,HandPinky1,0.5603782,1.052115,0.04610008,pick,right
2,HandPinky2,0.5709667,1.041622,0.07472261,pick,right
2,HandThumb3,0.5028503,1.021795,0.1221566,pick,right
2,HandIndex3,0.5330936,1.095773,0.1286463,pick,right
2,HandMiddle3,0.5541161,1.043033,0.1192686,pick,right
2,HandRing3,0.5600824,1.025388,0.1020483,pick,right
2,HandPinky3,0.5659581,1.02354,0.08488239,pick,right
3,HandStart,0.5024225,0.9966701,0.003904551,pick,right
3,HandThumb0,0.5019425,1.00482,0.02933562,pick,right
3,HandThumb1,0.4954817,1.011297,0.0537877,pick,right
3,HandThumb2,0.4972546,1.013706,0.08781128,pick,right
3,HandIndex1,0.5073157,1.068727,0.07890167,pick,right
3,HandIndex2,0.5216329,1.092754,0.1072769,pick,right
3,HandMiddle1,0.5260985,1.072612,0.06537264,pick,right
3,HandMiddle2,0.547951,1.067387,0.1044714,pick,right
3,HandRing1,0.5440044,1.065192,0.05529057,pick,right
3,HandRing2,0.560792,1.050843,0.08979325,pick,right
