Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.0158533,1.157407,0.2867815,pick,right
0,HandThumb0,-0.006288335,1.171951,0.2901872,pick,right
0,HandThumb1,-0.02923737,1.183828,0.2864625,pick,right
0,HandThumb2,-0.06135581,1.191884,0.2948331,pick,right
0,HandIndex1,-0.03674826,1.246961,0.2941097,pick,right
0,HandIndex2,-0.05598459,1.281224,0.3007021,pick,right
0,HandMiddle1,-0.01843066,1.249358,0.3085887,pick,right
0,HandMiddle2,-0.03472393,1.290118,0.3189187,pick,right
0,HandRing1,-0.006189832,1.241769,0.3250169,pick,right
0,HandRing2,-0.01238848,1.281054,0.334835,pick,right
0,HandPinky0,0.01324388,1.18772,0.3189861,pick,right
0,HandPinky1,0.003886368,1.229123,0.3413026,pick,right
0,HandPinky2,0.009212147,1.259167,0.3518106,pick,right
0,HandThumb3,-0.09072535,1.206452,0.3084497,pick,right
0,HandIndex3,-0.07319081,1.297483,0.3102635,pick,right
0,HandMiddle3,-0.05063627,1.311478,0.3302378,pick,right
0,HandRing3,-0.02555621,1.302624,0.3466931,pick,right
0,HandPinky3,0.002640411,1.274769,0.3647976,pick,right
1,HandStart,0.01529799,1.158128,0.2874671,pick,right
1,HandThumb0,-0.006840881,1.172679,0.2908612,pick,right
1,HandThumb1,-0.02979175,1.184566,0.28718,pick,right
1,HandThumb2,-0.06188696,1.192677,0.2955859,pick,right
1,HandIndex1,-0.03727959,1.247699,0.2947665,pick,right
1,HandIndex2,-0.05689865,1.281669,0.3017326,pick,right
1,HandMiddle1,-0.01896865,1.25009,0.3092549,pick,right
1,HandMiddle2,-0.03533522,1.290808,0.3196336,pick,right
1,HandRing1,-0.006738564,1.242498,0.3256895,pick,right
1,HandRing2,-0.01297585,1.281779,0.3354997,pick,right
1,HandPinky0,0.0126815,1.188443,0.3196698,pick,right
1,HandPinky1,0.003325393,1.229849,0.3419805,pick,right
1,HandPinky2,0.008657895,1.259912,0.3524329,pick,right
1,HandThumb3,-0.09117931,1.207312,0.309298,pick,right
1,HandIndex3,-0.07432711,1.297526,0.3115629,pick,right
1,HandMiddle3,-0.05131439,1.312095,0.330996,pick,right
1,HandRing3,-0.02618677,1.303325,0.3473528,pick,right
1,HandPinky3,0.002093878,1.275549,0.3653817,pick,right
2,HandStart,0.01438235,1.158913,0.2884417,pick,right
2,HandThumb0,-0.007750079,1.173479,0.2918188,pick,right
2,HandThumb1,-0.03070086,1.185376,0.2881709,pick,right
2,HandThumb2,-0.06276787,1.193584,0.2965907,pick,right
2,HandIndex1,-0.03815302,1.248516,0.295652,pick,right
2,HandIndex2,-0.05900082,1.281464,0.303852,pick,right
2,HandMiddle1,-0.01984363,1.250912,0.3101417,pick,right
2,HandMiddle2,-0.03628526,1.291594,0.3205404,pick,right
2,HandRing1,-0.00762032,1.243328,0.3265853,pick,right
2,HandRing2,-0.01388066,1.282616,0.3363527,pick,right
2,HandPinky0,0.01177457,1.189258,0.320617,pick,right
2,HandPinky1,0.002434438,1.230688,0.3428894,pick,right
2,HandPinky2,0.007785495,1.260778,0.3532549,pick,right
2,HandThumb3,-0.09197795,1.208326,0.3103628,pick,right
2,HandIndex3,-0.07698648,1.296178,0.3144275,pick,right
2,HandMiddle3,-0.05233594,1.312809,0.3319373,pick,right
2,HandRing3,-0.02713332,1.304146,0.3481896,pick,right
2,HandPinky3,0.001230828,1.27646,0.3661544,pick,right
3,HandStart,0.01342962,1.159506,0.2890634,pick,right
3,HandThumb0,-0.008672537,1.174137,0.2923523,pick,right
3,HandThumb1,-0.03159646,1.186079,0.2886807,pick,right
3,HandThumb2,-0.06362097,1.194519,0.2970324,pick,right
3,HandIndex1,-0.03889986,1.249262,0.2958558,pick,right
3,HandIndex2,-0.06211068,1.279835,0.3065315,pick,right
3,HandMiddle1,-0.02060615,1.251668,0.3103635,pick,right
3,HandMiddle2,-0.0371063,1.292347,0.3206829,pick,right
3,HandRing1,-0.008425493,1.244117,0.3268539,pick,right
3,HandRing2,-0.01466923,1.283446,0.3364682,pick,right
3,HandPinky0,0.0108476,1.189979,0.3211195,pick,right
3,HandPinky1,0.001574634,1.231516,0.3432207,pick,right
3,HandPinky2,0.006988592,1.261653,0.3534141,pick,right
3,HandThumb3,-0.09271498,1.209514,0.3107763,pick,right
3,HandIndex3,-0.08158264,1.290295,0.3193088,pick,right
3,HandMiddle3,-0.05325287,1.313491,0.3320749,pick,right
3,HandRing3,-0.02797231,1.304988,0.3482254,pick,right
3,HandPinky3,0.0004495308,1.277427,0.3662087,pick,right
4,HandStart,0.01244448,1.15989,0.2892946,pick,right
4,HandThumb0,-0.009556528,1.174735,0.2922909,pick,right
4,HandThumb1,-0.03237469,1.186817,0.2884229,pick,right
4,HandThumb2,-0.06432323,1.195798,0.2964961,pick,right
4,HandIndex1,-0.03920068,1.250134,0.2947215,pick,right
4,HandIndex2,-0.06438033,1.278282,0.3074152,pick,right
4,HandMiddle1,-0.02096177,1.252573,0.3092925,pick,right
4,HandMiddle2,-0.03739639,1.293385,0.3191821,pick,right
4,HandRing1,-0.008925091,1.245128,0.3259363,pick,right
4,HandRing2,-0.01499923,1.284601,0.3350576,pick,right
4,HandPinky0,0.009944046,1.190773,0.3209625,pick,right
4,HandPinky1,0.0008914657,1.232649,0.342507,pick,right
4,HandPinky2,0.006500069,1.262888,0.3522863,pick,right
4,HandThumb3,-0.09323126,1.211386,0.309971,pick,right
4,HandIndex3,-0.08459558,1.284268,0.3218144,pick,right
4,HandMiddle3,-0.05362957,1.314562,0.330388,pick,right
4,HandRing3,-0.02832041,1.306287,0.3465251,pick,right
4,HandPinky3,1.051649E-05,1.278893,0.3648158,pick,right
5,HandStart,0.01171748,1.16009,0.2898772,pick,right
5,HandThumb0,-0.009829635,1.175744,0.2918924,pick,right
5,HandThumb1,-0.03220741,1.188375,0.2872769,pick,right
5,HandThumb2,-0.06340245,1.200925,0.2932689,pick,right
5,HandIndex1,-0.03704715,1.25208,0.2905713,pick,right
5,HandIndex2,-0.06549396,1.274542,0.3071135,pick,right
5,HandMiddle1,-0.01893603,1.254582,0.3052903,pick,right
5,HandMiddle2,-0.03955425,1.292768,0.3175479,pick,right
5,HandRing1,-0.007371131,1.247504,0.3224215,pick,right
5,HandRing2,-0.01251481,1.287471,0.3297938,pick,right
5,HandPinky0,0.00979341,1.19241,0.3201186,pick,right
5,HandPinky1,0.001813015,1.235467,0.3396677,pick,right
5,HandPinky2,0.00824745,1.265942,0.3481138,pick,right
5,HandThumb3,-0.09105977,1.220123,0.3045267,pick,right
5,HandIndex3,-0.08484782,1.271016,0.3233869,pick,right
5,HandMiddle3,-0.05920681,1.309177,0.3310417,pick,right
