Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.05394349,0.8930286,0.1969502,prune,left
0,HandThumb0,0.0697642,0.90658,0.2136671,prune,left
0,HandThumb1,0.08647235,0.9209017,0.2277146,prune,left
0,HandThumb2,0.1119117,0.9305374,0.2483675,prune,left
0,HandIndex1,0.07487903,0.9423948,0.2861989,prune,left
0,HandIndex2,0.08321793,0.9599028,0.3210035,prune,left
0,HandMiddle1,0.06540626,0.9218844,0.2925637,prune,left
0,HandMiddle2,0.07662378,0.9272524,0.3359098,prune,left
0,HandRing1,0.06488108,0.9000816,0.2912659,prune,left
0,HandRing2,0.099754,0.8965857,0.3124748,prune,left
0,HandPinky0,0.06184293,0.8781498,0.2379268,prune,left
0,HandPinky1,0.06760579,0.878027,0.2855349,prune,left
0,HandPinky2,0.09958145,0.8792148,0.2897317,prune,left
0,HandThumb3,0.1251488,0.9172245,0.2784967,prune,left
0,HandIndex3,0.09045403,0.9702532,0.3431922,prune,left
0,HandMiddle3,0.08644011,0.9298469,0.3630111,prune,left
0,HandRing3,0.1116439,0.8964853,0.2872184,prune,left
0,HandPinky3,0.1061333,0.8829087,0.2697642,prune,left
1,HandStart,0.05882401,0.8955542,0.2120865,prune,left
1,HandThumb0,0.07477994,0.9076179,0.2297858,prune,left
1,HandThumb1,0.09161131,0.9206696,0.2448843,prune,left
1,HandThumb2,0.117182,0.9284851,0.2661353,prune,left
1,HandIndex1,0.08040614,0.9372404,0.3050225,prune,left
1,HandIndex2,0.08904245,0.9517504,0.34111,prune,left
1,HandMiddle1,0.07089965,0.9162976,0.3097075,prune,left
1,HandMiddle2,0.08248054,0.9180031,0.3532565,prune,left
1,HandRing1,0.07029483,0.8946808,0.3065983,prune,left
1,HandRing2,0.1053259,0.8893422,0.3271527,prune,left
1,HandPinky0,0.06689528,0.8772853,0.2516333,prune,left
1,HandPinky1,0.07291503,0.8731736,0.2990319,prune,left
1,HandPinky2,0.1049312,0.8739378,0.303013,prune,left
1,HandThumb3,0.1305557,0.9127102,0.2949887,prune,left
1,HandIndex3,0.09642093,0.9601986,0.3640451,prune,left
1,HandMiddle3,0.0924982,0.9183068,0.3804066,prune,left
1,HandRing3,0.1169368,0.891319,0.3018437,prune,left
1,HandPinky3,0.1112961,0.8792639,0.2833561,prune,left
2,HandStart,0.06279083,0.8975729,0.2245907,prune,left
2,HandThumb0,0.07885306,0.9083484,0.2430103,prune,left
2,HandThumb1,0.09577902,0.920291,0.2589003,prune,left
2,HandThumb2,0.1214503,0.9265826,0.2805325,prune,left
2,HandIndex1,0.08490123,0.9326148,0.3201095,prune,left
2,HandIndex2,0.09378766,0.94454,0.3570724,prune,left
2,HandMiddle1,0.07538877,0.9114051,0.3233629,prune,left
2,HandMiddle2,0.08730993,0.9100433,0.366832,prune,left
2,HandRing1,0.07473756,0.8900603,0.3187483,prune,left
2,HandRing2,0.1099223,0.883279,0.3386031,prune,left
2,HandPinky0,0.07103576,0.8765666,0.2627169,prune,left
2,HandPinky1,0.07728895,0.8691341,0.3096788,prune,left
