Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.3240505,1.399194,-0.4448525,idle,right
0,HandThumb0,0.3051084,1.416328,-0.4546242,idle,right
0,HandThumb1,0.2848101,1.428136,-0.4673941,idle,right
0,HandThumb2,0.2603379,1.449962,-0.4795466,idle,right
0,HandIndex1,0.291489,1.48306,-0.5020424,idle,right
0,HandIndex2,0.2748927,1.519579,-0.5094578,idle,right
0,HandMiddle1,0.3097734,1.491197,-0.4887381,idle,right
0,HandMiddle2,0.2896829,1.532678,-0.4914677,idle,right
0,HandRing1,0.3196676,1.493583,-0.4688185,idle,right
0,HandRing2,0.3065521,1.533278,-0.4722086,idle,right
0,HandPinky0,0.3270909,1.443879,-0.4376601,idle,right
0,HandPinky1,0.3262658,1.492205,-0.4463089,idle,right
0,HandPinky2,0.3193667,1.52442,-0.4488288,idle,right
0,HandThumb3,0.2440414,1.481712,-0.4864345,idle,right
0,HandIndex3,0.2577876,1.538867,-0.5051294,idle,right
0,HandMiddle3,0.2695725,1.553291,-0.4844892,idle,right
0,HandRing3,0.2881738,1.554647,-0.4674656,idle,right
0,HandPinky3,0.3051081,1.540423,-0.4446039,idle,right
1,HandStart,0.3240505,1.399194,-0.4448525,idle,right
1,HandThumb0,0.3051084,1.416328,-0.4546242,idle,right
1,HandThumb1,0.2848101,1.428136,-0.4673941,idle,right
1,HandThumb2,0.2603379,1.449962,-0.4795466,idle,right
1,HandIndex1,0.291489,1.48306,-0.5020424,idle,right
1,HandIndex2,0.2748927,1.519579,-0.5094578,idle,right
1,HandMiddle1,0.3097734,1.491197,-0.4887381,idle,right
1,HandMiddle2,0.2896829,1.532678,-0.4914677,idle,right
1,HandRing1,0.3196676,1.493583,-0.4688185,idle,right
1,HandRing2,0.3065521,1.533278,-0.4722086,idle,right
1,HandPinky0,0.3270909,1.443879,-0.4376601,idle,right
1,HandPinky1,0.3262658,1.492205,-0.4463089,idle,right
1,HandPinky2,0.3193667,1.52442,-0.4488288,idle,right
1,HandThumb3,0.2440414,1.481712,-0.4864345,idle,right
1,HandIndex3,0.2577876,1.538867,-0.5051294,idle,right
1,HandMiddle3,0.2695725,1.553291,-0.4844892,idle,right
1,HandRing3,0.2881738,1.554647,-0.4674656,idle,right
1,HandPinky3,0.3051081,1.540423,-0.4446039,idle,right
2,HandStart,0.3240505,1.399194,-0.4448525,idle,right
2,HandThumb0,0.3051084,1.416328,-0.4546242,idle,right
2,HandThumb1,0.2848101,1.428136,-0.4673941,idle,right
2,HandThumb2,0.2603379,1.449962,-0.4795466,idle,right
2,HandIndex1,0.291489,1.48306,-0.5020424,idle,right
