Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,left,pick,0.004492968,-0.000446558,0.001283646,-0.01617239,0.01297629,0.01654446,-0.01315515,0.02589601,0.01898988,-0.0001401901,0.02558678,0.02542199,-0.01327969,0.007393301,0.08093937,-0.001485333,0.03360087,0.02252883,0.0003596991,0.02378106,-0.01035598,0.01023236,0.003404856,0.08106227,0.00138171,0.02340138,0.03936714,-0.0006963015,0.02642685,0.01287618,0.03044718,0.007422626,0.07281759,0.006713286,0.01108384,0.03955394,-0.001046553,0.02373248,0.01549651,0.04876833,0.01407123,0.06001766,0.01159324,0.0007688999,0.03066194,0.000646472,0.01716828,0.01322222,-0.01456252,-0.002121866,-0.06793386,-0.02637909,0.01418793,-0.01696122,-0.02554639,0.008299768,0.008057877,-0.0232011,0.003666341,0.02169193,-0.01506241,-0.000316143,-0.03215589,-0.02532309,0.01154214,-0.04019338,-0.02519614,0.01099414,0.005437553,-0.02489413,0.01023054,0.02396622,92.40143,87.59858,140.8493,39.15068,52.66433,127.3357,50.95208,129.0479,103.1734
1,left,pick,0.005332977,-3.612041E-05,0.0005398393,-0.01615855,0.01319742,0.01638227,-0.01299523,0.02616698,0.01872669,-0.0001550615,0.02573556,0.02527125,-0.01393096,0.007698178,0.08080133,-0.001838326,0.03393185,0.02200046,0.000744611,0.02377796,-0.01034252,0.00954593,0.003519773,0.08114105,0.001018785,0.02334797,0.03940989,-0.0006824583,0.02643812,0.01285371,0.02986448,0.007353544,0.07306548,0.0065137,0.00942713,0.04001415,-0.0008570924,0.02315331,0.01636025,0.04835095,0.01382226,0.06041189,0.01146832,-0.000806272,0.03070793,0.001052007,0.0165509,0.01396269,-0.01338449,-0.002265632,-0.06769283,-0.026334,0.01476228,-0.01774915,-0.02581346,0.01008707,0.007471308,-0.02344109,0.003764689,0.02195981,-0.01428416,-0.0003080368,-0.03207906,-0.02490693,0.01210213,-0.04094538,-0.02563883,0.01337188,0.003964767,-0.02535019,0.0103671,0.02435738,92.34563,87.65437,140.6306,39.36939,52.20798,127.792,50.7285,129.2715,102.0956
2,left,pick,0.008086234,0.0001590848,-0.0006634593,-0.01562619,0.01349348,0.01665525,-0.01215343,0.02647102,0.0188641,0.0006625652,0.0257948,0.0252026,-0.012508,0.007862151,0.08101805,-0.00162524,0.03408754,0.02177551,0.001109436,0.0238291,-0.01019096,0.01089797,0.003290772,0.08098018,0.001812764,0.02306437,0.03954816,-0.0001146346,0.02632242,0.01310626,0.0311464,0.0067904,0.07258318,0.007399298,0.00680244,0.04039076,4.988164E-05,0.02208549,0.01779595,0.04953432,0.01295924,0.05963956,0.01189116,-0.001803398,0.03050408,0.001742546,0.01609915,0.01441443,-0.01364638,-0.001985192,-0.06727421,-0.02684398,0.01559454,-0.01773478,-0.02583496,0.01276231,0.007554397,-0.02287979,0.002436996,0.02283031,-0.01409325,-1.949072E-05,-0.03188065,-0.02561991,0.01310122,-0.041032,-0.02599948,0.01699924,0.002864704,-0.02457245,0.008423328,0.02621183,91.14525,88.85475,140.7455,39.25451,51.97172,128.0283,50.76884,129.2312,101.7949
3,left,pick,0.007465318,0.001568019,-0.001961291,-0.01471069,0.01384377,0.01719292,-0.01087183,0.0268085,0.01916721,0.002040535,0.02588284,0.02503783,-0.009388886,0.008212388,0.0814039,-0.0009166524,0.03430557,0.02147225,0.001284592,0.02407634,-0.009570122,0.01391099,0.003204942,0.08052076,0.003449276,0.02282441,0.03957844,0.0008037686,0.02609611,0.01352797,0.03390042,0.00631386,0.07138221,0.0088742,0.005594671,0.04027881,0.001258895,0.02136898,0.01860781,0.05191427,0.01211965,0.05776234,0.01280812,-0.002198279,0.03010428,0.00343778,0.01481199,0.01545259,-0.01527698,-0.001865685,-0.06651601,-0.02766581,0.01648861,-0.01722306,-0.02541435,0.01412082,0.008438185,-0.02194778,0.001987159,0.0237944,-0.01452103,-5.918741E-05,-0.03190807,-0.02718499,0.01446885,-0.04032116,-0.02586947,0.01884794,0.003358349,-0.02412666,0.008544147,0.02694961,89.17252,90.82748,140.6792,39.32077,51.55933,128.4407,50.69141,129.3086,102.1575
4,left,pick,0.006061241,0.001180053,-0.002233684,-0.01367363,0.01411527,0.01781684,-0.009502411,0.02705139,0.01955004,0.00353387,0.02589881,0.02485444,-0.005672857,0.008362114,0.08173178,0.0003146678,0.03455508,0.02108598,0.001317024,0.02411926,-0.009457305,0.01748127,0.002976,0.07983065,0.005310707,0.02254224,0.03953415,0.002196319,0.02422178,0.01652691,0.03709836,0.005759239,0.06982169,0.01049391,0.005241454,0.03993547,0.003330745,0.01888597,0.02089719,0.05458928,0.01127124,0.05542055,0.01386262,-0.002609909,0.02960011,0.00507208,0.01348168,0.0162023,-0.01781785,-0.001750529,-0.06545088,-0.02815017,0.01739895,-0.01654704,-0.02480029,0.01451755,0.009607643,-0.02085962,0.002339363,0.02473649,-0.01560101,2.902746E-05,-0.03113914,-0.02902947,0.01729643,-0.04253125,-0.02593472,0.01985335,0.005237356,-0.02260096,0.007743657,0.02943139,87.02084,92.97917,140.6059,39.39407,51.19936,128.8006,50.76378,129.2362,102.7445
5,left,pick,0.005630687,0.001810431,-0.002833962,-0.01264975,0.01415181,0.01852995,-0.008109026,0.02701682,0.02021413,0.004976511,0.02550864,0.0250105,-0.002379991,0.007250249,0.08199976,0.001732945,0.03447688,0.02114515,0.001499735,0.0241574,-0.009331837,0.02056645,0.001419783,0.07913528,0.007045463,0.02173114,0.03971681,0.003366545,0.02328217,0.01764272,0.03984254,0.003950119,0.06842146,0.01188527,0.004330277,0.03965379,0.004813511,0.01733083,0.02193037,0.05688473,0.009317696,0.05343948,0.01475036,-0.003453255,0.02908009,0.00617519,0.01259506,0.0165296,-0.02011173,-0.0005584955,-0.06440082,-0.02825896,0.0185762,-0.01570718,-0.0241159,0.01487052,0.01077683,-0.01990728,0.002415955,0.02555569,-0.01663496,0.0007927418,-0.03005849,-0.03012577,0.01945144,-0.04268174,-0.02556287,0.02082187,0.006489187,-0.02126896,0.007151723,0.03095645,84.93723,95.06277,141.3874,38.61263,51.69719,128.3028,51.84574,128.1543,102.9953
6,left,pick,0.004649103,0.0008458495,-0.001823783,-0.01168916,0.01387978,0.01934849,-0.006761931,0.02662158,0.02120945,0.006323196,0.02466112,0.02555047,0.000364244,0.004755378,0.0822158,0.003091119,0.03392035,0.0218775,0.001806773,0.02435887,-0.008734494,0.02306473,-0.001504362,0.07844193,0.008565798,0.02026486,0.04019037,0.004378483,0.02251542,0.01839949,0.04205015,0.0009175539,0.06719722,0.01299637,0.002770603,0.0394443,0.005838644,0.01631063,0.02245748,0.05873695,0.006357968,0.05184603,0.01542036,-0.004775822,0.02854037,0.007036179,0.01165885,0.01686884,-0.02190646,0.001825631,-0.06353536,-0.02817516,0.01991522,-0.014539,-0.02341599,0.01507235,0.01199079,-0.01911079,0.002106011,0.02625512,-0.01739004,0.002127886,-0.0292504,-0.03074687,0.02175868,-0.04167299,-0.02487615,0.02127713,0.007932797,-0.02030833,0.006757796,0.03184375,83.15634,96.84366,143.0339,36.96614,53.14116,126.8588,53.88424,126.1158,103.1238
7,left,pick,0.002100885,-0.001051366,-0.001091838,-0.01078852,0.01306909,0.02040725,-0.005489372,0.02557856,0.02280082,0.007548317,0.02308738,0.02666412,0.002732523,0.0001974702,0.08230846,0.004382126,0.03270954,0.02344468,0.002168477,0.02473241,-0.007517725,0.02516509,-0.006349444,0.07754858,0.009918883,0.0177806,0.04104595,0.005325109,0.02125496,0.01960939,0.04388734,-0.003734529,0.06591265,0.01391808,0.0002592206,0.03922567,0.006746575,0.01476914,0.02325566,0.0602719,0.002171636,0.05040878,0.01594784,-0.006768942,0.02783877,0.007780537,0.01035345,0.01738577,-0.02339254,0.005740643,-0.06254507,-0.02796932,0.02147585,-0.01284139,-0.02272145,0.01490647,0.01345621,-0.01841433,0.001121998,0.02689077,-0.0180127,0.004095614,-0.02836323,-0.03112596,0.02495331,-0.03996851,-0.02414291,0.02139229,0.009809941,-0.01944829,0.005537689,0.03276066,81.8521,98.1479,145.9393,34.06065,55.94852,124.0515,57.19096,122.809,103.3343
8,left,pick,0.001203001,-0.00144279,-0.0006406903,-0.01018651,0.01168293,0.02152658,-0.00451237,0.0237534,0.02489356,0.008333698,0.02061582,0.02839924,0.00358963,-0.006511152,0.08201773,0.005465627,0.03066015,0.02586213,0.002803989,0.02517176,-0.005606234,0.02577668,-0.01326716,0.07646521,0.01063695,0.01412505,0.04226868,0.00603715,0.01938063,0.02127448,0.04444409,-0.01023853,0.0648415,0.01410471,-0.003284037,0.03902186,0.007295925,0.01254731,0.02436802,0.0608283,-0.003554642,0.04965629,0.01589493,-0.009499431,0.02706032,0.008218117,0.008555949,0.01814532,-0.02375413,0.01128733,-0.06145971,-0.02735837,0.02329111,-0.01085404,-0.02213517,0.01438046,0.01487052,-0.01817444,-0.0004684925,0.02714676,-0.01822443,0.006731391,-0.02745424,-0.03059153,0.02908224,-0.03773475,-0.02339395,0.02121377,0.01177698,-0.01909663,0.003522873,0.03336945,81.07147,98.92854,150.2019,29.79811,60.2438,119.7562,61.83009,118.1699,102.8654
9,left,pick,0.002345473,-0.000762105,-0.001035988,-0.009715796,0.01030314,0.02242986,-0.00356245,0.02172762,0.02682335,0.008946709,0.01780725,0.0300639,0.003169611,-0.01334685,0.08120345,0.006629482,0.02823615,0.02824077,0.003857449,0.02539492,-0.003623068,0.02506741,-0.0205397,0.07508078,0.01094927,0.01019228,0.04330744,0.006702784,0.0173043,0.02280989,0.04386514,-0.01734632,0.06371403,0.01367074,-0.007000268,0.03868516,0.007638939,0.01016897,0.02535164,0.06053954,-0.01012683,0.04910067,0.01528565,-0.01239735,0.026226,0.008466974,0.006591618,0.01883763,-0.02307734,0.01714146,-0.06019101,-0.02621758,0.02523673,-0.008944005,-0.0215192,0.01399916,0.01598904,-0.01828931,-0.001822412,0.02707252,-0.01798808,0.00955379,-0.02650404,-0.02906292,0.03332734,-0.03537697,-0.02245536,0.0211345,0.01344728,-0.01911734,0.00175494,0.03358653,80.00243,99.99757,154.4028,25.59715,64.80522,115.1948,66.69495,113.305,101.5789
