Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,left,idle,-0.008870482,-0.006261587,-0.0106678,0.01276769,0.02243662,0.006936774,0.009026796,0.03143239,0.01238672,-0.004241154,0.03046155,0.01937027,-0.02355275,0.07634151,0.02245787,-0.01151395,0.02979732,0.02537057,-0.006399393,0.01744366,0.01838712,-0.04493266,0.06536782,0.02233692,-0.0121718,0.02766252,0.03490581,-0.005506068,0.01506305,0.02491622,-0.05771244,0.04780221,0.02767608,-0.01546592,0.02572179,0.02929895,-0.007348597,0.01534808,0.022964,-0.06614274,0.02689147,0.03429331,-0.01647556,0.01933074,0.02113432,-0.006920218,0.009813547,0.01825024,0.05686118,-0.05226982,-0.02850494,0.02203777,0.01310849,-0.009414285,0.01607388,0.01950634,0.0002676994,0.009439945,0.02730179,0.001547396,0.05901942,-0.03925192,-0.02752179,0.02114445,0.0154891,-0.01594338,0.01791641,0.01922131,0.002219915,0.009011567,0.03283632,0.006261155,58.48936,121.5106,84.43307,95.56693,128.9507,51.04932,32.11249,147.8875,51.12722
1,left,idle,-0.007310659,-0.004195571,-0.01670069,0.01340665,0.01865137,0.01367199,0.0106709,0.02492547,0.02208517,-0.003533497,0.0242753,0.0268203,-0.01873732,0.07245851,0.03585784,-0.00869748,0.01789141,0.03561416,-0.00324209,0.005444169,0.02536079,-0.040894,0.06424785,0.03147574,-0.009896457,0.01514876,0.04247767,-0.001937419,0.001991034,0.02950111,-0.05576995,0.04754508,0.03179495,-0.01228958,0.01577032,0.03687134,-0.002639592,0.004152536,0.02815494,-0.0667977,0.02683425,0.03304593,-0.01361477,0.01386917,0.02672197,-0.002847433,0.002921343,0.02146211,0.05151235,-0.04677308,-0.03571483,0.02335566,0.01095331,-0.002481401,0.01726907,0.01608121,0.005287111,0.01235294,0.02261198,0.008898392,0.05122094,-0.02794194,-0.03425533,0.02205099,0.01440644,-0.006621718,0.01797125,0.01391971,0.006633282,0.01256078,0.02384317,0.01559122,61.50576,118.4942,71.31676,108.6832,132.6112,47.38876,35.07443,144.9256,60.72628
2,left,idle,-0.005022347,-0.00187397,-0.01956469,0.01333682,0.01576316,0.01697612,0.01048271,0.02061296,0.02623202,-0.003893912,0.02029514,0.02990066,-0.01732446,0.067963,0.04436207,-0.008764267,0.008704543,0.03887853,-0.002495289,-0.003826022,0.02573824,-0.03953846,0.06173742,0.0376303,-0.009858578,0.00550735,0.04476893,-0.0008660555,-0.00725472,0.02871679,-0.05523087,0.04605031,0.03479463,-0.01161948,0.007617474,0.0395752,-0.0009580553,-0.004076838,0.02827321,-0.06735151,0.02604616,0.03254862,-0.01257747,0.008781672,0.02926551,-0.001139909,-0.00234437,0.02169031,0.04990827,-0.04029143,-0.04003246,0.02330831,0.009422779,0.0008413643,0.01745331,0.01357698,0.008029401,0.01307863,0.01883996,0.0125557,0.04850964,-0.01617026,-0.03587005,0.02167907,0.01285148,-0.002137184,0.01754531,0.0103991,0.008472979,0.01326048,0.01710749,0.0191386,64.36614,115.6339,63.04422,116.9558,132.7948,47.20525,38.80057,141.1994,66.52694
3,left,idle,0.007045895,0.00379324,-0.01137656,0.01177114,0.01188052,0.02085247,0.008106411,0.01486206,0.03059918,-0.002838001,0.01603663,0.03249431,-0.02091484,0.05868983,0.05481941,-0.01074371,-0.004644275,0.03907844,-0.003591001,-0.01217449,0.02285188,-0.04244412,0.0544188,0.04503241,-0.01086557,-0.009707808,0.04381187,-0.0004351437,-0.01750922,0.02390127,-0.05791493,0.03995705,0.03782897,-0.0110389,-0.006976485,0.03985856,0.001340508,-0.01534343,0.02407694,-0.06991653,0.02105677,0.03069742,-0.01098803,-0.001747012,0.03111258,0.002307504,-0.01060247,0.01896133,0.0515361,-0.02730298,-0.0424462,0.02165115,0.009334564,0.005053565,0.01564413,0.01173043,0.01115675,0.01195073,0.0136708,0.01587753,0.0522891,0.0009081364,-0.03280377,0.01849529,0.0146693,0.00400418,0.01386848,0.009564638,0.01098108,0.01098374,0.008929849,0.02099314,66.5109,113.4891,51.89666,128.1033,129.4489,50.55114,47.27425,132.7258,75.15112
4,left,idle,0.005921006,0.003737807,-0.003190517,0.009640813,0.0081352,0.02356707,0.00510563,0.009227395,0.03334205,-0.002481431,0.01158142,0.034363,-0.02707033,0.04776096,0.06223496,-0.01263434,-0.01524162,0.03566775,-0.004105866,-0.01798379,0.01852149,-0.04757445,0.04502499,0.05000254,-0.01300734,-0.01967406,0.03969282,-0.0004935265,-0.02295172,0.01873517,-0.06197701,0.03187835,0.03904298,-0.01205933,-0.01707232,0.03636397,0.003216654,-0.02185678,0.01813422,-0.0728064,0.01439488,0.02767769,-0.01143789,-0.009596109,0.02947655,0.003410757,-0.01492333,0.01558611,0.05445111,-0.01515675,-0.04099359,0.02087712,0.007168412,0.008207351,0.01345456,0.0105449,0.01428841,0.01020795,0.01000726,0.0182527,0.05607554,0.01440847,-0.02515207,0.01726478,0.01213634,0.007993668,0.009744376,0.009449959,0.01488936,0.01001385,0.003073812,0.02080081,68.16232,111.8377,41.67963,138.3204,123.3569,56.64307,56.55132,123.4487,83.06923
5,left,idle,0.005262971,0.002381325,-0.002528787,0.008916512,0.006006837,0.02447343,0.004163086,0.005962729,0.03420554,-0.001589224,0.008950353,0.03519191,-0.02973199,0.0406388,0.0659667,-0.01179862,-0.02186227,0.03235671,-0.002211809,-0.02200651,0.01393342,-0.04987517,0.03863764,0.05301353,-0.01201779,-0.02590013,0.03628413,0.003664225,-0.02705586,0.01151474,-0.06367058,0.02630281,0.04044706,-0.01126987,-0.02230668,0.03368439,0.007037729,-0.02477998,0.01238292,-0.07376978,0.009781599,0.02713639,-0.01112196,-0.01342118,0.0280705,0.006034136,-0.01687956,0.01248746,0.05461021,-0.00680697,-0.03964444,0.02036235,0.006039023,0.009025738,0.01304749,0.008741379,0.01516622,0.009951293,0.007635713,0.01892455,0.05523279,0.02414989,-0.01838595,0.01448631,0.01108837,0.01144442,0.009673983,0.006465495,0.01429804,0.01095489,-0.0002647042,0.01882002,69.05264,110.9474,36.01703,143.983,118.474,61.52601,62.16915,117.8309,86.21417
6,left,idle,0.005197793,0.001470447,-0.001824021,0.008592516,0.004214644,0.02495875,0.003800943,0.003180623,0.03461707,-0.0001681298,0.006875277,0.03569041,-0.03151731,0.03389251,0.0688844,-0.009998053,-0.02747238,0.02845052,0.001263857,-0.0250212,0.007460639,-0.0514783,0.03242552,0.05558239,-0.009611309,-0.03168333,0.03218029,0.007946938,-0.02824229,0.004153773,-0.06478468,0.02082169,0.04184673,-0.00938797,-0.0270133,0.03068198,0.01083696,-0.02559292,0.006668985,-0.07426333,0.005222082,0.02705055,-0.01060408,-0.0163871,0.02666077,0.008648783,-0.01769662,0.009449705,0.05390882,0.000975132,-0.0377591,0.01957424,0.005677938,0.009572238,0.01308304,0.006933808,0.01523398,0.01069477,0.004973412,0.01881738,0.05247684,0.0328716,-0.009529322,0.01289116,0.008899033,0.0128791,0.01019302,0.004284441,0.01271877,0.01288295,-0.002922893,0.01603666,69.66081,110.3392,31.33302,148.667,113.735,66.26504,67.24541,112.7546,88.33704
7,left,idle,0.005308926,0.001808763,0.0004851222,0.009979755,0.005568266,0.02416469,0.006075457,0.004225254,0.03417807,0.001912385,0.007570267,0.03549841,-0.02960786,0.03190935,0.07065598,-0.005063698,-0.02788877,0.02933766,0.004438639,-0.0246954,0.007331908,-0.05024259,0.02824962,0.05889372,-0.003984064,-0.03191912,0.03312212,0.01103258,-0.02724236,0.003764868,-0.06330116,0.01514697,0.04631705,-0.004355222,-0.02726209,0.03157605,0.01386052,-0.02426499,0.006000519,-0.07224287,-0.001576185,0.03244266,-0.006889939,-0.01684785,0.02757648,0.01106086,-0.01658565,0.008935243,0.05072677,0.005772948,-0.04165088,0.01955509,0.007690072,0.007977799,0.01342973,0.008445621,0.01412274,0.01147643,0.006308913,0.01787396,0.04820052,0.03803861,-0.01348437,0.01296115,0.01023704,0.01154484,0.01060179,0.005468249,0.01188709,0.01427609,-0.00137043,0.01493923,64.6479,115.3521,33.7437,146.2563,110.3889,69.61111,69.27624,110.7238,84.59695
8,left,idle,0.00505814,0.001654387,0.0005433559,0.01094085,0.006872535,0.02340087,0.007572025,0.005819082,0.03364085,0.00345929,0.009146214,0.0350069,-0.02738722,0.03366375,0.0707375,-0.002804771,-0.02701664,0.03043605,0.005641133,-0.02430886,0.007782996,-0.04840489,0.02895844,0.06007665,-0.001390561,-0.03084791,0.0343256,0.01209925,-0.02673852,0.004085585,-0.06160071,0.0150131,0.04859729,-0.001965493,-0.02626431,0.03264284,0.01500842,-0.02357543,0.005987972,-0.07063138,-0.002476573,0.0357646,-0.005019903,-0.01601595,0.02846167,0.01202238,-0.01590037,0.008938923,0.04870486,0.006044507,-0.04413183,0.01960346,0.008536577,0.006771296,0.01377076,0.009361744,0.01316212,0.01208508,0.007241309,0.01701386,0.04652302,0.03949958,-0.01690793,0.01314534,0.01096624,0.01046871,0.01086159,0.006198645,0.01125973,0.01507112,-0.000433743,0.01406291,62.62711,117.3729,36.30267,143.6973,110.2912,69.70883,68.09946,111.9005,81.71906
9,left,idle,0.004686654,0.001434445,0.0007473826,0.01211379,0.00876534,0.02215761,0.009281531,0.00856483,0.03260982,0.005328774,0.01204801,0.03387555,-0.02476972,0.03815103,0.06941223,-0.001886889,-0.0251987,0.03202474,0.005953565,-0.0239464,0.0086281,-0.04616472,0.03297853,0.05976677,-0.0002803952,-0.02883589,0.03605819,0.0121385,-0.02654034,0.005128562,-0.05982819,0.01846826,0.04961097,-0.000824973,-0.02438819,0.03411411,0.0156063,-0.0232017,0.005918965,-0.069397,0.00030303,0.03818379,-0.004020214,-0.0142678,0.02953048,0.01229872,-0.01542354,0.009387255,0.04805194,0.004377842,-0.04666954,0.0197885,0.008809686,0.005612016,0.01420805,0.01006258,0.01209988,0.01276405,0.008044839,0.01601081,0.04742715,0.04037225,-0.02142209,0.01360357,0.01140362,0.009111553,0.01074025,0.00672394,0.01130947,0.01607163,0.0002666712,0.01254252,62.2659,117.7341,39.21885,140.7812,112.4226,67.57738,64.65701,115.343,78.70164
