Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,right,idle,0.0135166,0.03917682,-0.0302878,-0.02314179,0.0122174,-0.005452372,-0.03349775,0.008247614,-0.00572551,-0.03276734,-0.01419032,-0.006785348,-0.07930781,-0.01955831,0.01465742,-0.01598204,-0.01955378,-0.03203661,0.01995973,0.008869052,-0.01436207,-0.06856398,-0.03895783,0.02391838,-0.009556822,-0.01469803,-0.04271316,0.02277365,0.01439202,-0.01233957,-0.05324164,-0.05518436,0.02239983,-0.007182755,-0.008453667,-0.04044968,0.0201291,0.01663798,-0.01161514,-0.0351521,-0.06901324,0.01659921,-0.009443842,-0.001912415,-0.03160597,0.01293992,0.01358587,-0.01119149,0.0386503,0.05957711,0.006201304,-0.01716904,0.01454377,0.001415595,-0.01769641,0.009982169,-0.0007449314,-0.01582845,0.007287621,-0.003043093,-0.01407677,0.03651774,0.01377803,-0.01998296,0.009020805,-0.0006069094,-0.01505186,0.007736206,-0.001469359,-0.008639276,0.01033974,-0.00346674,38.31309,141.6869,68.58101,111.419,22.25036,157.7496,120.0653,59.93468,68.66172
1,right,idle,0.02759942,0.07185066,-0.05677098,-0.02157968,0.01338017,-0.00835596,-0.03277937,0.01152873,-0.003937453,-0.03523339,-0.00892508,0.000234127,-0.08054465,4.673004E-05,0.01999142,-0.02214141,-0.02135313,-0.02679406,0.01986374,0.00114882,-0.01695383,-0.0732523,-0.01909173,0.03256437,-0.01484074,-0.02001965,-0.03886828,0.02431279,0.006801248,-0.01551335,-0.0615223,-0.03809559,0.03384493,-0.01102839,-0.01405978,-0.0379464,0.02225287,0.009801507,-0.01502174,-0.04687887,-0.05614579,0.03039853,-0.008357406,-0.004297376,-0.03167754,0.01587775,0.009149313,-0.01189341,0.04832701,0.0462153,-0.005490772,-0.01459303,0.01780498,-0.0004987344,-0.01554234,0.013044,-0.002202436,-0.01731441,0.008287787,-0.002822466,-0.006770119,0.0361414,0.01169718,-0.01904208,0.01215255,-0.001939215,-0.01348242,0.01004374,-0.002694041,-0.01093929,0.008939981,-0.005950797,36.22931,143.7707,58.27786,121.7221,31.72432,148.2757,105.6573,74.3427,59.94713
2,right,idle,-0.005876929,-0.01208806,0.01997066,-0.02253561,0.01335239,-0.005328789,-0.03322524,0.01090813,-1.02371E-05,-0.03490643,-0.009701133,0.002921104,-0.0782638,-0.003516436,0.02737725,-0.02895672,-0.02007592,-0.02055695,0.01220325,-0.001442313,-0.02307213,-0.06941079,-0.02325487,0.03784417,-0.02366538,-0.01960051,-0.03446084,0.01981244,0.006088614,-0.0211762,-0.05721708,-0.04197276,0.03669097,-0.01895266,-0.01384735,-0.0347604,0.01841146,0.01002836,-0.01942588,-0.04259288,-0.05933976,0.03063785,-0.01651945,-0.005468607,-0.02808885,0.01152803,0.009620428,-0.0158688,0.05145967,0.04785287,-0.01215933,-0.01414435,0.01926303,0.003436975,-0.01690643,0.01296473,0.001452759,-0.0170574,0.008988261,-0.000618428,0.004349992,0.03959405,0.01383391,-0.02175355,0.0117321,0.001541048,-0.01550545,0.009024978,-0.0002975613,-0.01017397,0.009396195,-0.004175514,34.30357,145.6964,61.40953,118.5905,28.9933,151.0067,107.3183,72.68169,65.24587
3,right,idle,0.001383066,0.004811645,0.009012699,-0.02311049,0.01286983,-0.003848299,-0.0334324,0.01006734,0.001956105,-0.0344802,-0.01052654,0.004627079,-0.07652877,-0.006014466,0.03153211,-0.03086866,-0.01999068,-0.01765284,0.008563057,-0.002562165,-0.02456489,-0.06661034,-0.02566779,0.04117103,-0.03089332,-0.02158082,-0.02667683,0.01293369,0.003015161,-0.02648901,-0.05402063,-0.04403496,0.03904393,-0.02626416,-0.01667798,-0.02812959,0.01306642,0.008417964,-0.0239859,-0.03930829,-0.06091237,0.03191519,-0.02158854,-0.009232759,-0.02324811,0.006503485,0.009499788,-0.01856685,0.05085453,0.04894233,-0.01577146,-0.009893768,0.02124345,-0.0006149337,-0.01721887,0.01346433,0.003579855,-0.01938796,0.009432197,0.002247266,0.007811278,0.04097795,0.01342051,-0.0142644,0.01566613,0.001309186,-0.0173516,0.008061528,0.001076743,-0.01282503,0.008350372,-0.003171787,34.77221,145.2278,61.8077,118.1923,29.15834,150.8417,108.6314,71.3686,67.21587
4,right,idle,0.0058911,0.0169431,0.01364326,-0.02362788,0.01208651,-0.003189534,-0.03367417,0.008994699,0.002837412,-0.03397512,-0.01157629,0.005725786,-0.07522871,-0.008301139,0.03404161,-0.03088809,-0.02107227,-0.01630968,0.006958008,-0.003163457,-0.02499796,-0.06433567,-0.02750432,0.0435346,-0.03323268,-0.02348173,-0.02181691,0.008434899,0.0007270575,-0.02839641,-0.05119481,-0.04545164,0.04117013,-0.02873313,-0.01904166,-0.02389674,0.009775408,0.007249594,-0.02586105,-0.03614493,-0.06188881,0.03372463,-0.02299435,-0.0115155,-0.02074689,0.004117064,0.008870125,-0.01953547,0.04881474,0.05045462,-0.01808405,-0.008548446,0.02161264,-0.003985763,-0.01764042,0.01350725,0.004444301,-0.02078866,0.008911014,0.004295647,0.007881612,0.04204178,0.0126397,-0.01002534,0.01772213,-0.0005873144,-0.01898093,0.006984711,0.001908943,-0.01513032,0.007290483,-0.00202994,36.64603,143.354,60.70251,119.2975,30.49376,149.5062,109.9838,70.01624,67.38885
5,right,idle,0.006930545,0.004747033,0.02512002,-0.02380706,0.01170707,-0.003271252,-0.03382115,0.008734345,0.00165689,-0.03385293,-0.01166546,0.006244838,-0.07407916,-0.006508231,0.03683777,-0.03220804,-0.02206385,-0.01183003,0.0002028346,-0.008300662,-0.02478665,-0.06270485,-0.02490342,0.04731545,-0.03663644,-0.02541256,-0.01198964,-0.001880735,-0.007182717,-0.02868631,-0.04945385,-0.04286253,0.04581326,-0.03257302,-0.0223465,-0.01410195,-0.002281882,-0.002148151,-0.02840935,-0.03446352,-0.05965769,0.03908029,-0.02470147,-0.01559997,-0.01543561,-0.003663361,0.001991749,-0.02144477,0.04865899,0.0490135,-0.0266221,-0.006945908,0.02174389,-0.01031807,-0.01731441,0.01489305,0.0036145,-0.02286188,0.01004863,0.008066624,0.01460323,0.04564869,0.004409388,-0.004862338,0.02062595,-0.006418407,-0.01691326,0.009858489,0.003337532,-0.0214804,0.005908728,0.001102045,39.36491,140.6351,56.60271,123.3973,34.82418,145.1758,108.3677,71.63232,64.37665
6,right,idle,0.004677027,0.0008065701,0.009402215,-0.02386941,0.01141119,-0.003816858,-0.03396361,0.00829792,-0.0007229298,-0.03390555,-0.01160359,0.006072387,-0.07333027,-0.003307819,0.03871472,-0.03305678,-0.0226233,-0.007717028,-0.003039762,-0.01180148,-0.02312593,-0.06168852,-0.02066314,0.05058055,-0.03793918,-0.02587795,-0.004767314,-0.00752455,-0.01244342,-0.02581817,-0.04840316,-0.03865921,0.05044147,-0.03388075,-0.02371383,-0.006998524,-0.008760512,-0.008433938,-0.02586576,-0.033484,-0.0559634,0.0449551,-0.02532092,-0.01845896,-0.01048322,-0.00790967,-0.003481269,-0.0200645,0.04855403,0.04564023,-0.03553748,-0.006759346,0.02060997,-0.01481554,-0.0173438,0.01583195,0.002370283,-0.02347898,0.01204932,0.008971065,0.01768824,0.04583812,-0.006339163,-0.002274558,0.02125192,-0.0121233,-0.01610783,0.01182246,0.002417877,-0.02432983,0.007096648,0.003169805,42.59362,137.4064,51.80967,128.1903,39.65365,140.3463,105.9794,74.02064,60.20658
7,right,idle,0.002113,-0.001850486,-9.542704E-05,-0.02385773,0.01115167,-0.004580662,-0.0339607,0.008167744,-0.001692325,-0.03390504,-0.01106787,0.007003918,-0.07289856,0.0004259348,0.03965753,-0.03328625,-0.02302647,-0.005092442,-0.004684001,-0.01446283,-0.02126527,-0.06113199,-0.01576006,0.05296537,-0.03866736,-0.02518082,0.001593426,-0.01166451,-0.01632214,-0.02180746,-0.04785495,-0.03370845,0.05436347,-0.03447631,-0.02387464,-0.0007873923,-0.01297537,-0.01288843,-0.02196458,-0.03300311,-0.05147016,0.0503554,-0.02565889,-0.0200268,-0.005685568,-0.01055607,-0.007739425,-0.01749115,0.04836638,0.04191995,-0.04083808,-0.00638546,0.01834035,-0.01999371,-0.01746809,0.01664221,0.0009827167,-0.02366925,0.01391387,0.008906245,0.01914534,0.04531491,-0.01256889,0.0005950481,0.02019966,-0.01945151,-0.01615723,0.01320851,0.001139835,-0.02608855,0.008764863,0.004432812,45.87312,134.1269,47.06379,132.9362,44.44259,135.5574,103.0811,76.91894,55.71445
8,right,idle,0.0009633154,-0.005765676,0.0002508759,-0.02379908,0.01102793,-0.005150154,-0.0339404,0.008057833,-0.002454534,-0.0339714,-0.01100063,0.006784916,-0.0733495,0.001269221,0.03879873,-0.03325596,-0.02315164,-0.004707932,-0.005267948,-0.01539791,-0.02045669,-0.06167557,-0.01447892,0.05270022,-0.03861668,-0.02522111,0.002104864,-0.01229283,-0.01730311,-0.02067664,-0.04834813,-0.03232527,0.05476563,-0.03431936,-0.02411258,-4.294515E-05,-0.01427591,-0.01439881,-0.02014409,-0.03338473,-0.05013418,0.05143994,-0.02554452,-0.02046108,-0.004539058,-0.01154037,-0.009600282,-0.01587203,0.04886597,0.04096818,-0.04169549,-0.006313205,0.01781762,-0.02071428,-0.01762477,0.01673782,8.240342E-05,-0.02373824,0.01415741,0.007821798,0.02016252,0.04536545,-0.01445389,0.0007116795,0.01972282,-0.02049433,-0.01564169,0.01383352,-0.0004501492,-0.02647378,0.009358883,0.00354974,47.0606,132.9394,45.68355,134.3165,45.53653,134.4635,102.637,77.36298,53.92655
9,right,idle,-4.684925E-05,-0.01877546,0.0002372861,-0.02372707,0.01103675,-0.005454198,-0.03389875,0.008067608,-0.002948388,-0.03404003,-0.01090229,0.006596968,-0.07358161,0.00186944,0.03833215,-0.03333639,-0.02309334,-0.004416436,-0.005916536,-0.01597512,-0.0198271,-0.06198528,-0.01364315,0.05255967,-0.03868381,-0.02505577,0.002748325,-0.01303531,-0.01789773,-0.01969223,-0.04866358,-0.03144681,0.05499725,-0.03430624,-0.02411067,0.0009945035,-0.01543044,-0.01533246,-0.01853992,-0.03367363,-0.04930043,0.05205375,-0.02551532,-0.02069724,-0.003517985,-0.01216776,-0.0106442,-0.01469399,0.04929217,0.04032826,-0.0423183,-0.006248906,0.01747501,-0.02139229,-0.01769927,0.01685858,-0.0006837547,-0.02378087,0.01444018,0.00745599,0.02116868,0.0454011,-0.01589423,0.0008698702,0.01939762,-0.02152716,-0.01530415,0.01429331,-0.001836061,-0.02704354,0.009751916,0.00361006,47.62605,132.374,45.01014,134.9899,46.042,133.958,102.3774,77.6226,52.90196
