Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,right,destroy,0.0001123548,-3.576279E-05,-0.0001752228,0.01858756,0.01769269,0.004803851,0.01449353,0.03085768,0.002070531,0.008624226,0.03289473,0.01018743,0.02584475,0.04078746,0.0651011,0.00913319,0.02958685,0.0250726,-0.001447976,0.02523547,0.003591985,0.005945623,0.03178912,0.07370202,0.002665102,0.03131139,0.0323424,-0.003635734,0.02782458,0.007081211,-0.01532644,0.02734596,0.07144891,-0.002405018,0.0236885,0.03333512,-0.004110545,0.02695346,0.005990088,-0.03668106,0.0238955,0.06378411,-0.009237647,0.01202476,0.02848753,-0.006023601,0.01958859,0.005939245,-0.001896858,-0.02182394,-0.08329932,0.02636722,0.007273793,-0.01587072,0.02634218,0.01206607,0.0012604,0.02818725,0.01511419,0.01251239,0.008175343,-0.01416469,-0.07670388,0.02855498,0.004684687,-0.01935995,0.02681699,0.01293719,0.002351522,0.0301003,0.02247906,0.01256323,74.60992,105.3901,123.8986,56.10143,34.51207,145.4879,38.1445,141.8555,93.61927
1,right,destroy,0.0001087785,3.159046E-05,-0.0002063215,0.01828206,0.01800025,0.004833788,0.01386151,0.03113246,0.002275452,0.007704258,0.0329833,0.01062876,0.0262475,0.04027879,0.06525649,0.009124428,0.02941328,0.02527916,-0.001699656,0.02519953,0.003731728,0.006512403,0.03103554,0.0739748,0.002792716,0.03089368,0.03273103,-0.003936559,0.02782267,0.006926298,-0.01474887,0.02645373,0.07190494,-0.002266705,0.023305,0.03361401,-0.004308999,0.02696872,0.005778015,-0.03615955,0.02292252,0.06443571,-0.009178936,0.01240158,0.02834457,-0.006010368,0.01970106,0.005569309,-0.003228366,-0.02055937,-0.08342642,0.02606681,0.007762849,-0.01617017,0.0263207,0.01217049,0.001186877,0.02832291,0.01443464,0.01273867,0.006175548,-0.0127756,-0.07652938,0.02830371,0.005139709,-0.01936474,0.02669314,0.01302445,0.002335161,0.03002428,0.02170229,0.01294738,74.25037,105.7496,124.0946,55.90543,34.91014,145.0899,38.52234,141.4777,92.89084
2,right,destroy,0.0001034737,0.0001074076,-0.0002410561,0.01811287,0.01816022,0.00487192,0.01350012,0.03127646,0.002464727,0.007212937,0.03298354,0.01096733,0.02655366,0.03981733,0.06541559,0.009090036,0.02927905,0.02544677,-0.001925349,0.02516919,0.003825605,0.006948411,0.03037214,0.07421008,0.00287357,0.03054118,0.03305322,-0.004256755,0.02785248,0.006609738,-0.01430166,0.02568108,0.07227442,-0.002186477,0.02299535,0.03383183,-0.004489005,0.0269919,0.005527139,-0.03575283,0.02209073,0.06495109,-0.00926891,0.01335877,0.02787647,-0.005922705,0.01993579,0.004770398,-0.004030704,-0.0196597,-0.08352572,0.02582172,0.008183062,-0.01640093,0.02631012,0.01223689,0.001157045,0.02853361,0.01322693,0.01327869,0.005107582,-0.01184535,-0.07638399,0.02815312,0.00549978,-0.01918507,0.02654237,0.01309747,0.002239645,0.02996731,0.02028304,0.01403543,73.9016,106.0984,124.2649,55.73509,35.26474,144.7353,38.87318,141.1268,92.34345
3,right,destroy,0.0001927018,-8.73208E-05,5.353987E-05,0.0179407,0.01832294,0.004899621,0.01316833,0.03141016,0.002558902,0.006763697,0.03301692,0.01115173,0.02661845,0.03967679,0.06547469,0.008978546,0.02929682,0.02546594,-0.002127022,0.0251621,0.003765076,0.00708735,0.03011066,0.07430345,0.002824098,0.03041089,0.03317741,-0.004629374,0.02794605,0.005929708,-0.01414886,0.02533358,0.07242697,-0.002248973,0.02293128,0.0338712,-0.004718304,0.02718455,0.004243225,-0.03561082,0.02167743,0.06516799,-0.009396911,0.01401055,0.02751127,-0.005806655,0.02015519,0.003914446,-0.004487962,-0.0192405,-0.0834821,0.02568555,0.008452058,-0.01654023,0.02630928,0.01225668,0.001182675,0.0286099,0.01257688,0.01361892,0.004402757,-0.01138568,-0.07609545,0.0281879,0.005668104,-0.01870486,0.02639821,0.01301819,0.002869159,0.02969825,0.01960623,0.0139477,73.68269,106.3173,124.2099,55.79008,35.30124,144.6988,38.94089,141.0591,92.09708
4,right,destroy,0.0002796054,-0.0004069209,1.050532E-05,0.01762658,0.01860768,0.004966229,0.01258585,0.03163123,0.002758592,0.006093025,0.0330444,0.01145275,0.02681485,0.03939617,0.06556389,0.008899152,0.02928782,0.02550408,-0.002339363,0.02514839,0.003730625,0.007375568,0.02969152,0.07444391,0.0028283,0.03022963,0.0333423,-0.005041242,0.0280267,0.005163372,-0.01384997,0.02483302,0.07265773,-0.002248853,0.02279866,0.03396064,-0.004912823,0.02726793,0.003404289,-0.03533643,0.02112699,0.06549731,-0.009410918,0.01419115,0.02741373,-0.005686224,0.02030617,0.003255129,-0.005501568,-0.01844507,-0.08334315,0.02551013,0.008762836,-0.01671824,0.0263027,0.01228946,0.001167834,0.02864853,0.01231354,0.01370734,0.00293082,-0.01054907,-0.07562102,0.02821201,0.005884528,-0.01815099,0.02617428,0.01304823,0.002926916,0.02942193,0.01927531,0.0138565,73.46958,106.5304,124.2384,55.76155,35.45166,144.5483,39.08617,140.9138,91.76318
5,right,destroy,0.0003724098,-0.0007528663,-4.003942E-05,0.01714683,0.01901841,0.005088449,0.01170737,0.03193396,0.003115445,0.005182236,0.03303063,0.0119309,0.0272229,0.03887504,0.06570664,0.008862704,0.02921486,0.02560034,-0.002589107,0.02511781,0.003771216,0.007921487,0.028974,0.07467023,0.002916455,0.02993315,0.03360119,-0.005498976,0.02806407,0.004442722,-0.0132935,0.02401727,0.07303491,-0.002143115,0.0225181,0.03415415,-0.005111486,0.02728295,0.002962828,-0.03482667,0.02026618,0.0660401,-0.009295583,0.01397413,0.02756414,-0.005635202,0.02036417,0.002969563,-0.007231414,-0.01713753,-0.08310309,0.02524766,0.009182751,-0.01696444,0.02627456,0.01237178,0.001082361,0.02868563,0.01229507,0.01358482,0.0005399287,-0.009224713,-0.07494341,0.02815753,0.006236494,-0.01763594,0.02588707,0.0131529,0.002562255,0.02920935,0.01921386,0.01357809,73.18534,106.8147,124.4372,55.56284,35.85255,144.1475,39.43451,140.5655,91.24801
6,right,destroy,0.0007092357,-0.0005779862,0.000209555,0.01664445,0.01942861,0.005205408,0.01085338,0.03220534,0.003401369,0.004263639,0.03302997,0.01229081,0.02749208,0.03865594,0.06572384,0.007272065,0.03122663,0.02365255,-0.004648179,0.02510208,0.0003338754,0.00823307,0.02871644,0.074736,0.002854705,0.03005183,0.03350037,-0.006703526,0.02814728,0.0006025434,-0.01298699,0.02375752,0.07317489,-0.00262019,0.0239706,0.03311658,-0.005495161,0.02722704,-0.002784878,-0.03454873,0.02002269,0.06626001,-0.009409934,0.01494646,0.0270097,-0.004781246,0.02079439,4.118681E-05,-0.007266313,-0.01824862,-0.08076961,0.02367637,0.0111143,-0.01885998,0.02669495,0.01104015,0.0019449,0.02835149,0.01275897,0.01302177,0.001645505,-0.01032072,-0.06881268,0.02573171,0.008069098,-0.01912865,0.02548659,0.01196039,0.005332321,0.02763757,0.01919162,0.0101957,73.2193,106.7807,124.5072,55.49278,35.9431,144.0569,39.48196,140.518,91.16537
7,right,destroy,0.0008025169,-0.0005881786,0.0002868474,0.01632947,0.01968247,0.005249351,0.01034856,0.03234994,0.003596932,0.003673941,0.03299809,0.0125639,0.02773461,0.03856426,0.06567578,0.003652155,0.03479999,0.01905397,-0.008957356,0.02258867,-0.007832557,0.008520216,0.02859521,0.07475029,0.0002990663,0.03443521,0.02911466,-0.009166837,0.02590799,-0.00907287,-0.01270247,0.02362323,0.07326828,-0.004251271,0.02854174,0.02907676,-0.005526513,0.02389747,-0.01332799,-0.03428981,0.01988423,0.06643598,-0.009750634,0.01800096,0.02494708,-0.002519846,0.02016389,-0.006506979,-0.004708737,-0.02133185,-0.07588346,0.02256748,0.01033384,-0.01913521,0.02577302,0.01086545,0.001519918,0.0270867,0.01427978,0.01096198,0.00792256,-0.01092243,-0.05548701,0.02277696,0.007014513,-0.01789489,0.02213269,0.01287597,0.005775034,0.02408004,0.01801336,0.004140973,73.34128,106.6587,124.509,55.49096,35.96045,144.0396,39.41519,140.5848,91.02038
8,right,destroy,0.0008971095,-0.0005945563,0.0003664196,0.01610482,0.01987344,0.005223677,0.01002592,0.03243428,0.00374797,0.003237754,0.03294647,0.01281682,0.0280394,0.03857934,0.06553738,0.0008943081,0.03671974,0.01543677,-0.01131052,0.01886672,-0.01295954,0.008890629,0.02857745,0.07471393,-0.001786411,0.03738749,0.02515,-0.01029518,0.02227217,-0.01534703,-0.01233238,0.02357394,0.07334732,-0.005336881,0.0313803,0.0257867,-0.005072594,0.01980019,-0.01901281,-0.03395155,0.01980507,0.06663306,-0.00983125,0.02041036,0.02298325,-0.0006932318,0.01834279,-0.010878,-0.002802968,-0.02299136,-0.0720025,0.02182949,0.009334147,-0.01888978,0.02477348,0.01101071,0.0007299185,0.02611354,0.0147388,0.009517699,0.0117453,-0.00891161,-0.04622614,0.02081415,0.005928695,-0.01650229,0.01955089,0.01348269,0.004395694,0.02173418,0.01619619,0.001382887,73.36079,106.6392,124.3961,55.60392,35.91595,144.0841,39.2968,140.7032,90.73296
9,right,destroy,0.0003319383,-0.0004428625,0.0006814748,0.01607469,0.0198918,0.005246744,0.0100702,0.03240168,0.003907815,0.003115654,0.03287148,0.01303764,0.02818453,0.03849435,0.0655251,-0.001569092,0.03796214,0.0119935,-0.01276067,0.01290894,-0.01795429,0.008989781,0.02858037,0.07470097,-0.005440056,0.04141712,0.0169872,-0.01013261,0.01103568,-0.0247612,-0.01225421,0.02366781,0.07333018,-0.007470787,0.03620571,0.01764917,-0.002349913,0.00705564,-0.02690655,-0.03388727,0.0199886,0.06661095,-0.009784907,0.02481955,0.01815796,0.003273636,0.01191008,-0.01739842,-0.0004705489,-0.02416301,-0.06836404,0.02306572,0.006458998,-0.01416957,0.02327472,0.01012397,0.0007088184,0.02394718,0.01506537,0.006210446,0.01540577,-0.004200459,-0.03737211,0.02043766,0.008332253,-0.007362664,0.01549202,0.01410401,0.002854168,0.01832363,0.01021093,-0.003297687,73.57858,106.4214,124.4018,55.59818,35.8298,144.1702,39.18102,140.819,90.90818
